xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.104811        0.10270        3.172        0.100099        0.121608        3.116        3.228        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        4.87        0.32        0.99        1.017        0.327      104.73      -29.15      105.73        0.95         1        2.37        2.64        3.40       20.38        0.00        0.95        0.3700        5.47        7.48        8.8        1.4        0.432        2.39        1.46        4.90        7.84        7.8        0.82        1.57       -1.66        1.12
0.086851        0.10550        3.314        0.099727        0.117464        3.154        3.474        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.02        0.32        0.99        1.076        0.352      109.47      -24.27      110.47        0.91         1        2.39        2.64        3.38       20.70        0.00        0.94        0.3124        6.39        9.20       10.6        1.6        0.476        2.58        1.60        7.80       20.91       21.1        0.81        1.65       -1.69        1.12
0.071969        0.10800        3.398        0.101447        0.116385        3.251        3.546        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.09        0.33        0.99        1.117        0.369      112.28      -22.17      113.28        0.89         1        2.41        2.65        3.40       23.08        0.00        0.94        0.2608        7.51       11.29       12.8        5.0        0.678        2.82        1.96       22.91      388.12     2380.8        0.81        1.67       -1.71        1.13
0.071969        0.10780        3.490        0.093464        0.107982        3.352        3.628        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.23        0.33        0.99        1.146        0.381      115.33      -19.60      116.33        0.87         1        2.41        2.65        3.35       20.06        0.00        0.94        0.2648        7.50       11.25       12.8        1.2        0.438        2.79        1.68       12.05       45.11       54.3        0.81        1.76       -1.73        1.13
0.049417        0.11040        3.816        0.105182        0.118500        3.603        4.029        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.65        0.33        0.99        1.268        0.438      126.20      -14.49      127.20        0.79         1        2.44        2.65        3.31       19.52        0.00        0.94        0.1894       10.44       16.67       18.6        1.2        0.447        3.30        1.93       43.18      536.11     4880.1        0.79        1.97       -1.80        1.15
0.040949        0.11450        3.868        0.114522        0.128124        3.479        3.998        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.62        0.34        0.99        1.309        0.457      127.94      -13.83      128.94        0.78         1        2.48        2.67        3.30       21.56        0.00        0.93        0.1562       12.40       20.32       22.8        3.8        0.690        3.63        2.35      133.51     4391.50   120134.1        0.79        1.95       -1.80        1.15
0.040949        0.11110        3.958        0.104505        0.119695        3.695        4.221        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.84        0.33        0.99        1.319        0.464      130.93      -13.20      131.93        0.76         1        2.45        2.65        3.30       19.57        0.00        0.93        0.1597       12.37       20.24       22.5        1.4        0.504        3.61        2.12       89.85     1727.04    31396.7        0.79        2.06       -1.84        1.16
0.040949        0.11100        3.958        0.110770        0.133425        3.741        4.176        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.84        0.33        0.99        1.319        0.464      130.95      -13.19      131.95        0.76         1        2.45        2.65        3.34       19.41        0.00        0.93        0.1597       12.37       20.24       22.4        1.3        0.482        3.60        2.10       84.94     1524.86    25986.7        0.79        2.06       -1.84        1.16
0.033932        0.11260        4.033        0.108193        0.118453        3.792        4.274        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        5.91        0.34        0.99        1.354        0.480      133.43      -12.01      134.43        0.75         1        2.48        2.66        3.31       21.20        0.00        0.93        0.1330       14.73       24.60       27.1        4.6        0.730        3.96        2.52      250.03     8754.49   345962.2        0.79        2.08       -1.85        1.16
0.033932        0.10980        4.157        0.106643        0.118456        3.876        4.438        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        6.17        0.33        0.99        1.377        0.495      137.57      -11.29      138.57        0.73         1        2.46        2.65        3.24       18.72        0.00        0.93        0.1362       14.70       24.49       27.1        1.2        0.463        3.93        2.21      141.61     2546.33    59930.7        0.78        2.21       -1.89        1.17
0.023300        0.10590        4.502        0.103525        0.114597        4.338        4.666        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        6.81        0.33        0.99        1.465        0.550      149.07       -9.22      150.07        0.67         1        2.47        2.64        3.18       17.97        0.00        0.92        0.0988       20.88       35.77       39.3        1.4        0.524        4.70        2.54      416.08     6721.04   279632.1        0.77        2.47       -1.99        1.19
0.019307        0.10140        4.721        0.096801        0.104851        4.330        5.113        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        7.30        0.32        0.99        1.503        0.580      156.38       -8.35      157.38        0.64         1        2.46        2.62        3.12       17.11        0.00        0.92        0.0854       24.93       43.10       47.4        1.4        0.517        5.15        2.64      600.78     6126.71   272425.6        0.76        2.66       -2.07        1.20
0.015999        0.10230        4.781        0.091113        0.104479        4.458        5.105        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        7.36        0.32        0.99        1.529        0.597      158.38       -8.14      159.38        0.63         1        2.48        2.63        3.15       18.30        0.00        0.92        0.0711       29.90       52.19       57.2        4.9        0.775        5.68        3.12     1513.36    24459.18  1779127.0        0.76        2.66       -2.08        1.20
0.015999        0.09710        4.916        0.091558        0.103720        4.695        5.138        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        7.77        0.31        0.99        1.532        0.608      162.88       -7.74      163.88        0.61         1        2.45        2.61        3.13       16.50        0.00        0.92        0.0736       29.83       51.96       57.0        1.5        0.540        5.65        2.80      826.29     3605.69     3605.7        0.75        2.82       -2.15        1.21
0.013257        2.15570        2.156        2.072037        2.205850        1.980        2.215        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.67        1.47        0.92        3.166        2.191       70.88      -55.29       71.88        1.41         0        1.28        1.63        2.50       72.95        0.00        0.89        0.0082       34.99       59.70       64.6        1.1        0.484        6.28       13.75        6.99       22.28       25.4        0.69        1.31       -0.28        1.03
0.004292        1.83630        2.624        1.594690        1.892107        2.437        2.811        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.88        1.36        0.92        3.556        2.544       86.47      -45.59       87.47        1.16         0        1.24        1.52        2.45       70.97        0.00        0.88        0.0031      105.82      184.14      199.3        3.9        0.766       10.97       23.40       40.28      683.24     1698.0        0.68        1.40       -0.33        1.03
0.002442        1.67830        3.110        1.678273        1.919891        2.887        3.333        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.08        1.30        0.91        4.029        2.965      102.67      -44.15      103.67        0.97         0        1.15        1.40        2.25       59.07        0.00        0.87        0.0019      183.81      316.88      366.7        1.1        0.485       14.35       25.44      160.19     5554.56    42929.8        0.65        1.48       -0.36        1.03
0.002442        0.38860        5.912        0.386370        0.458464        5.605        6.220        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        4.53        0.62        0.96        3.686        3.445      196.08      -30.15      197.08        0.51         0        0.75        1.37        1.38       20.00        0.00        0.87        0.0063      193.72      336.24      376.2        1.4        0.560       14.75        8.85     6225.20    18399.95    18400.0        0.74        2.52       -1.24        1.04
0.002024        0.41790        5.854        0.378162        0.440411        5.439        6.270        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        4.31        0.65        0.96        3.784        3.497      194.15      -30.70      195.15        0.52         0        0.76        1.41        1.43       20.96        0.00        0.87        0.0049      232.83      404.00      451.6        1.8        0.613       16.20       10.19     8458.39    26597.30    26597.3        0.74        2.46       -1.17        1.04
0.002024        0.39530        5.947        0.360058        0.408511        5.735        6.158        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        4.51        0.63        0.96        3.739        3.488      197.22      -30.35      198.22        0.51         0        0.75        1.39        1.40       20.68        0.00        0.87        0.0051      233.27      404.82      453.1        3.2        0.735       16.25       10.08    10567.92    32251.20    32251.2        0.74        2.51       -1.22        1.04
0.001677        0.42800        5.873        0.424280        0.479575        5.594        6.152        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        4.27        0.65        0.96        3.842        3.539      194.77      -30.65      195.77        0.51         0        0.77        1.44        1.45       21.72        0.00        0.87        0.0040      280.46      486.45      544.0        4.1        0.782       17.86       11.64    14254.73    46852.90    46852.9        0.73        2.44       -1.14        1.04
0.001389        1.51020        3.215        1.507171        1.602689        2.876        3.328        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.19        1.23        0.92        3.951        2.936      106.17      -39.94      107.17        0.94         0        1.18        1.46        2.35       54.44        0.00        0.87        0.0012      324.79      564.90      616.2        2.2        0.664       19.14       31.26     1621.22   122421.00  5222988.0        0.67        1.53       -0.39        1.03
0.001389        0.57300        5.380        0.565272        0.608082        4.932        5.530        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.35        0.76        0.95        4.073        3.570      178.35      -32.21      179.35        0.56         0        0.84        1.57        1.65       24.51        0.00        0.87        0.0026      334.89      580.27      644.2        0.9        0.434       19.39       14.26     9824.81    49294.78    49294.8        0.71        2.21       -0.90        1.04
0.001389        0.54050        5.494        0.538901        0.588831        5.480        6.372        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.52        0.74        0.95        4.039        3.577      182.13      -32.06      183.13        0.55         0        0.82        1.54        1.67       23.96        0.00        0.87        0.0028      335.61      581.61      645.6        1.3        0.528       19.45       13.98    11428.64    49368.35    49368.3        0.72        2.25       -0.95        1.04
0.001151        1.48110        3.280        1.474931        1.672838        3.111        3.450        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.23        1.22        0.92        3.992        2.979      108.35      -39.28      109.35        0.92         0        1.18        1.45        2.51       55.51        0.00        0.87        0.0010      391.10      679.98      734.9        6.6        0.853       21.17       35.28     3736.50   345984.40 22165710.0        0.67        1.53       -0.40        1.04
0.001151        0.61530        5.285        0.545325        0.617109        4.613        5.509        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.16        0.78        0.94        4.146        3.592      175.17      -32.55      176.17        0.57         0        0.86        1.57        1.67       25.79        0.00        0.87        0.0021      402.59      697.12      774.9        1.2        0.507       21.31       16.49    14530.54    92813.54    92813.5        0.71        2.16       -0.85        1.04
0.000954        0.57910        5.453        0.565631        0.582165        5.291        5.616        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.37        0.76        0.95        4.150        3.637      180.78      -32.34      181.78        0.55         0        0.84        1.58        1.65       25.73        0.00        0.87        0.0018      473.69      819.76      912.1        4.5        0.797       23.27       17.97    28511.68   143051.00   143051.0        0.71        2.20       -0.89        1.04
0.000954        0.55110        5.555        0.514144        0.575122        5.233        5.877        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.52        0.74        0.95        4.124        3.645      184.17      -31.97      185.17        0.54         0        0.83        1.58        1.62       25.38        0.00        0.87        0.0019      474.55      821.28      915.1        9.5        0.892       23.37       17.80    34557.45   163291.30   163291.3        0.71        2.24       -0.93        1.04
0.000954        1.40630        3.437        1.324875        1.469640        3.232        3.643        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.32        1.19        0.92        4.076        3.072      113.58      -38.80      114.58        0.88         0        1.15        1.46        2.31       50.16        0.00        0.87        0.0009      471.95      819.32      896.0        2.8        0.714       23.13       34.82     5851.70   449320.60 33376300.0        0.67        1.58       -0.42        1.03
0.000954        0.65150        5.476        0.651496        0.748719        5.346        5.607        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        3.17        0.81        0.94        4.420        3.813      181.55      -34.47      182.55        0.55         0        0.83        1.06        1.59       26.85        0.00        0.86        0.0017      469.11      805.45      949.2        1.6        0.585       23.12       18.63    20786.53   182069.70 15995400.0        0.69        2.13       -0.80        1.03
0.000954        0.68680        5.092        0.672632        0.751684        4.659        5.524        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.87        0.83        0.94        4.220        3.589      168.72      -33.22      169.72        0.59         0        0.89        1.53        1.75       27.59        0.00        0.87        0.0016      470.65      814.46      906.3        1.2        0.525       23.04       19.07    19071.78   241081.80 24278310.0        0.70        2.08       -0.77        1.04
0.000791        1.30560        3.686        1.305624        1.449720        3.650        3.723        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.47        1.14        0.92        4.212        3.220      121.88      -37.78      122.88        0.82         0        1.12        1.44        2.17       45.75        0.00        0.87        0.0008      568.91      984.44     1103.7        2.1        0.656       25.40       34.87    10809.56   724341.30 66481760.0        0.66        1.64       -0.45        1.03
0.000791        1.28610        3.677        1.171390        1.354881        3.408        3.946        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        1.48        1.13        0.92        4.170        3.190      121.57      -37.50      122.57        0.82         0        1.12        1.46        2.21       44.92        0.00        0.87        0.0008      569.89      987.88     1082.3        1.9        0.630       25.37       34.20    10908.19   710348.30 64707320.0        0.67        1.64       -0.45        1.04
0.000791        0.90230        4.517        0.815157        0.913006        4.170        4.864        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.20        0.95        0.93        4.291        3.484      149.57      -34.79      150.57        0.67         0        0.98        1.50        1.96       32.83        0.00        0.87        0.0010      576.41      997.17     1101.8        0.9        0.444       25.47       25.08    19605.96   605611.30 65093620.0        0.68        1.88       -0.61        1.04
0.000791        0.78050        4.922        0.780453        0.935240        4.636        5.208        0.03        1.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        2.59        0.88        0.93        4.348        3.626      163.07      -34.23      164.07        0.61         0        0.92        1.51        1.77       30.09        0.00        0.87        0.0012      578.53      998.29     1136.9        1.5        0.576       25.62       23.13    27709.13   569792.30 67801290.0        0.69        1.99       -0.69        1.03
