x               rho             P               T               ur              uphi            uz              Br              Bphi            Bz
0.010000        0.999987        0.999992        1.000005        0.999946        0.999999       -0.009590       -0.010000       -0.010000       -0.010000
0.010163        0.999986        0.999991        1.000005        0.999945        0.999999       -0.009746       -0.010162       -0.010162       -0.010162
0.010328        0.999985        0.999990        1.000005        0.999942        0.999999       -0.009904       -0.010328       -0.010328       -0.010328
0.010496        0.999984        0.999990        1.000006        0.999940        0.999999       -0.010065       -0.010496       -0.010496       -0.010496
0.010667        0.999983        0.999989        1.000006        0.999937        0.999999       -0.010229       -0.010666       -0.010666       -0.010666
0.010840        0.999982        0.999988        1.000006        0.999935        0.999999       -0.010395       -0.010840       -0.010840       -0.010840
0.011016        0.999981        0.999987        1.000006        0.999932        0.999999       -0.010564       -0.011016       -0.011016       -0.011016
0.011196        0.999980        0.999987        1.000007        0.999929        0.999999       -0.010736       -0.011195       -0.011195       -0.011195
0.011378        0.999979        0.999986        1.000007        0.999926        0.999999       -0.010911       -0.011377       -0.011377       -0.011377
0.011563        0.999978        0.999985        1.000007        0.999924        0.999999       -0.011088       -0.011562       -0.011562       -0.011562
0.011751        0.999977        0.999984        1.000007        0.999921        0.999999       -0.011269       -0.011750       -0.011750       -0.011750
0.011942        0.999976        0.999983        1.000008        0.999918        0.999999       -0.011452       -0.011942       -0.011942       -0.011942
0.012136        0.999974        0.999982        1.000008        0.999915        0.999999       -0.011638       -0.012136       -0.012136       -0.012136
0.012334        0.999973        0.999981        1.000008        0.999912        0.999999       -0.011827       -0.012333       -0.012333       -0.012333
0.012534        0.999972        0.999980        1.000008        0.999909        0.999999       -0.012020       -0.012534       -0.012534       -0.012534
0.012738        0.999971        0.999979        1.000009        0.999906        0.999999       -0.012215       -0.012738       -0.012738       -0.012738
0.012945        0.999969        0.999979        1.000009        0.999902        0.999999       -0.012414       -0.012945       -0.012945       -0.012945
0.013156        0.999968        0.999978        1.000009        0.999899        0.999998       -0.012615       -0.013155       -0.013155       -0.013155
0.013370        0.999967        0.999977        1.000010        0.999896        0.999998       -0.012821       -0.013369       -0.013369       -0.013369
0.013587        0.999966        0.999976        1.000010        0.999893        0.999998       -0.013029       -0.013587       -0.013587       -0.013587
0.013808        0.999964        0.999975        1.000010        0.999889        0.999998       -0.013241       -0.013808       -0.013808       -0.013808
0.014033        0.999963        0.999974        1.000011        0.999886        0.999998       -0.013456       -0.014032       -0.014032       -0.014032
0.014261        0.999962        0.999973        1.000011        0.999882        0.999998       -0.013675       -0.014260       -0.014260       -0.014260
0.014493        0.999960        0.999971        1.000011        0.999879        0.999998       -0.013897       -0.014492       -0.014492       -0.014492
0.014729        0.999959        0.999970        1.000011        0.999875        0.999998       -0.014123       -0.014728       -0.014728       -0.014728
0.014968        0.999957        0.999969        1.000012        0.999872        0.999998       -0.014353       -0.014967       -0.014967       -0.014967
0.015212        0.999956        0.999968        1.000012        0.999868        0.999998       -0.014587       -0.015211       -0.015211       -0.015211
0.015459        0.999954        0.999967        1.000013        0.999864        0.999998       -0.014824       -0.015458       -0.015458       -0.015458
0.015711        0.999953        0.999966        1.000013        0.999860        0.999998       -0.015065       -0.015710       -0.015710       -0.015710
0.015966        0.999951        0.999965        1.000013        0.999856        0.999998       -0.015310       -0.015965       -0.015965       -0.015965
0.016226        0.999950        0.999964        1.000014        0.999852        0.999998       -0.015559       -0.016225       -0.016225       -0.016225
