xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
0.600667        0.01053        0.01201        1.191        1.302        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01129        1.246        5.339        0.990        0.132        0.106        2.56816        1.62        0.933        0.29        3.34        5.35
0.494374        0.01154        0.01358        1.210        1.369        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01154        1.290        5.476        0.989        0.139        0.107        2.17875        1.77        0.931        0.57        3.45        5.69
0.448505        0.05530        0.06472        1.535        1.602        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05530        1.569        3.075        0.985        0.369        0.235        1.19813        1.88        0.913        0.73        3.21        6.61
0.334889        0.01188        0.01353        1.530        1.720        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01198        1.625        6.883        0.988        0.178        0.109        1.81275        2.18        0.914        1.29        3.37        6.03
0.334889        0.01153        0.01267        1.526        1.726        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01194        1.601        6.786        0.988        0.175        0.109        1.79158        2.18        0.915        1.30        3.39        6.68
0.303817        0.00077        0.00090        1.596        1.740        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00077        1.668       27.935        0.989        0.046        0.028        6.49222        2.26        0.912        1.45        3.28        3.92
0.303817        0.01101        0.01269        1.643        1.790        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01216        1.716        7.242        0.988        0.189        0.110        1.71941        2.31        0.909        1.52        3.35        5.95
0.303817        0.00076        0.00092        1.625        1.712        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00077        1.669       27.943        0.989        0.046        0.028        6.49366        2.26        0.912        1.45        3.27        3.92
0.275628        0.05944        0.06500        1.786        1.910        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05944        1.848        3.523        0.983        0.451        0.244        0.83534        2.48        0.898        1.78        3.31        7.62
0.275628        0.05004        0.05887        1.832        2.048        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05718        1.940        3.781        0.983        0.464        0.239        0.88163        2.48        0.893        1.76        3.11        7.45
0.275628        0.01053        0.01249        1.731        1.909        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01235        1.820        7.642        0.988        0.202        0.111        1.63416        2.45        0.904        1.76        3.32        5.88
0.275628        0.01065        0.01234        1.809        1.978        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01234        1.810        7.601        0.988        0.201        0.111        1.62693        2.46        0.904        1.76        3.34        5.96
0.275628        0.05946        0.06337        1.783        1.929        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05946        1.856        3.538        0.983        0.453        0.244        0.83836        2.48        0.897        1.78        3.30        7.40
0.275628        0.01201        0.01374        1.632        1.907        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01228        1.770        7.440        0.988        0.196        0.111        1.59866        2.46        0.906        1.77        3.40        6.30
0.250054        0.00070        0.00084        1.801        2.032        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05718        1.940        3.781        0.983        0.464        0.239        0.88163        2.48        0.893        1.76        3.11        7.45
0.250054        0.01232        0.01308        1.779        1.930        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01246        1.855        7.761        0.987        0.207        0.112        1.50446        2.61        0.902        2.04        3.38        6.37
0.226854        0.01232        0.01304        1.916        2.077        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01273        1.996        8.298        0.987        0.225        0.113        1.44400        2.78        0.895        2.32        3.33        6.07
0.226854        0.05578        0.06161        1.950        2.176        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05892        2.063        3.970        0.982        0.501        0.243        0.75762        2.81        0.887        2.32        3.21        8.01
0.226854        0.05440        0.06032        1.854        2.148        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05898        2.075        3.991        0.982        0.504        0.243        0.76085        2.81        0.886        2.32        3.14        7.70
0.226854        0.00463        0.00470        1.657        1.867        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00463        1.762       12.068        0.988        0.120        0.068        2.11943        2.78        0.907        2.37        3.42        5.47
0.205805        0.00213        0.00233        1.954        2.271        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00230        2.112       20.754        0.988        0.101        0.048        3.19272        2.94        0.891        2.60        3.30        4.42
0.205805        0.05679        0.06043        2.020        2.308        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06000        2.164        4.134        0.981        0.530        0.245        0.71093        3.00        0.881        2.63        3.13        7.44
0.205805        0.05249        0.06013        1.966        2.306        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05989        2.136        4.082        0.981        0.523        0.245        0.70393        3.00        0.883        2.65        3.23        7.92
0.205805        0.00223        0.00252        2.160        2.207        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00230        2.183       21.446        0.988        0.105        0.048        3.27693        2.93        0.887        2.57        3.29        4.32
0.205805        0.01216        0.01292        2.068        2.300        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01291        2.075        8.578        0.987        0.236        0.114        1.34772        2.97        0.891        2.64        3.33        6.28
0.205805        0.00126        0.00152        2.326        2.519        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00132        2.471       32.298        0.988        0.090        0.036        4.76849        2.84        0.874        2.36        3.14        3.80
0.205805        0.00116        0.00135        2.075        2.400        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00131        2.380       31.116        0.988        0.086        0.036        4.64086        2.86        0.878        2.42        3.17        3.88
0.205805        0.00431        0.00487        1.991        2.211        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00476        2.101       14.325        0.988        0.145        0.069        2.21805        2.96        0.891        2.63        3.31        4.96
0.186710        0.00221        0.00257        2.108        2.417        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00234        2.263       22.108        0.988        0.109        0.048        3.05290        3.14        0.883        2.92        3.30        4.39
0.186710        0.00479        0.00552        1.966        2.143        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00479        2.054       13.948        0.988        0.142        0.069        1.97233        3.18        0.893        3.03        3.38        5.32
0.186710        0.00430        0.00500        2.187        2.259        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00484        2.223       15.073        0.988        0.155        0.070        2.10000        3.16        0.885        2.97        3.30        5.00
0.186710        0.01306        0.01365        2.058        2.195        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01306        2.092        8.602        0.987        0.239        0.114        1.22687        3.18        0.890        3.02        3.39        6.84
0.186710        0.06076        0.06511        2.053        2.371        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06090        2.212        4.197        0.981        0.546        0.247        0.65377        3.21        0.879        3.00        3.23        7.90
0.186710        0.06342        0.06478        2.031        2.132        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06342        2.082        3.859        0.981        0.524        0.252        0.61406        3.22        0.885        3.05        3.39        8.65
0.186710        0.05625        0.06111        2.102        2.327        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06092        2.215        4.201        0.981        0.547        0.247        0.65428        3.21        0.878        3.00        3.14        7.95
0.186710        0.00123        0.00136        2.474        2.707        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00134        2.591       33.590        0.988        0.095        0.037        4.46896        3.03        0.868        2.67        3.14        3.83
0.169387        0.00127        0.00152        2.460        2.724        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00137        2.708       34.802        0.988        0.100        0.037        4.17419        3.24        0.863        3.01        3.15        3.87
0.169387        0.00226        0.00246        2.268        2.484        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00237        2.376       23.077        0.988        0.116        0.049        2.87076        3.36        0.878        3.29        3.28        4.47
0.169387        0.00203        0.00243        2.472        2.611        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00240        2.542       24.608        0.988        0.125        0.049        3.01412        3.33        0.870        3.19        3.21        4.27
0.169387        0.00136        0.00151        2.573        2.990        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00138        2.781       35.703        0.988        0.103        0.037        4.24728        3.21        0.859        2.94        3.13        3.80
0.169387        0.00235        0.00245        2.393        2.749        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00241        2.571       24.879        0.988        0.126        0.049        3.03855        3.32        0.869        3.18        3.20        4.23
0.169387        0.01219        0.01354        2.210        2.505        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01351        2.357        9.579        0.986        0.274        0.116        1.21399        3.39        0.877        3.33        3.28        6.02
0.169387        0.01330        0.01368        2.280        2.348        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01345        2.314        9.417        0.987        0.268        0.116        1.19805        3.40        0.879        3.35        3.31        6.26
0.169387        0.01327        0.01449        2.381        2.520        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01357        2.398        9.731        0.986        0.279        0.116        1.22890        3.39        0.875        3.31        3.27        5.84
0.169387        0.05984        0.06799        2.153        2.387        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06188        2.270        4.276        0.980        0.565        0.249        0.60271        3.44        0.875        3.39        3.15        8.59
0.153670        0.00227        0.00253        2.956        3.076        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00252        3.016       28.695        0.988        0.151        0.050        3.05060        3.45        0.848        3.30        3.10        3.96
0.153670        0.05610        0.06459        2.092        2.484        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06303        2.386        4.460        0.980        0.599        0.251        0.56530        3.69        0.869        3.79        3.13        7.77
0.153670        0.00494        0.00547        2.511        2.730        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00508        2.620       17.456        0.987        0.187        0.071        1.94303        3.60        0.866        3.65        3.25        4.82
0.153670        0.00461        0.00540        2.698        2.735        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00512        2.716       18.046        0.987        0.194        0.072        1.99061        3.58        0.862        3.59        3.21        4.65
0.153670        0.00491        0.00529        2.568        2.824        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00511        2.696       17.921        0.987        0.193        0.072        1.98064        3.59        0.863        3.60        3.21        4.69
0.153670        0.00134        0.00148        2.790        3.013        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00141        2.901       36.869        0.988        0.109        0.038        3.95399        3.44        0.854        3.31        3.14        3.83
0.153670        0.00245        0.00272        2.528        3.039        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00247        2.784       26.648        0.988        0.138        0.050        2.90479        3.53        0.859        3.49        3.18        4.18
0.153670        0.05889        0.06679        2.188        2.568        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06303        2.378        4.445        0.980        0.597        0.251        0.56388        3.69        0.870        3.79        3.12        7.88
0.153670        0.01255        0.01399        2.438        2.701        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01395        2.570       10.309        0.986        0.303        0.118        1.16612        3.62        0.867        3.67        3.23        5.70
0.153670        0.01311        0.01495        2.369        2.554        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01379        2.462        9.918        0.986        0.289        0.117        1.13276        3.64        0.872        3.73        3.30        6.14
0.153670        0.01379        0.01612        2.382        2.580        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01382        2.481        9.989        0.986        0.292        0.118        1.13884        3.63        0.871        3.72        3.28        6.05
0.153670        0.00501        0.00534        2.361        2.721        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00505        2.541       16.964        0.987        0.181        0.071        1.90188        3.62        0.870        3.69        3.27        4.96
0.153670        0.05915        0.06745        2.283        2.433        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06294        2.358        4.409        0.980        0.592        0.251        0.56049        3.69        0.871        3.80        3.25        8.11
0.153670        0.00445        0.00511        2.433        2.734        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00507        2.583       17.227        0.987        0.184        0.071        1.92400        3.61        0.868        3.67        3.25        4.88
0.153670        0.01360        0.01482        2.327        2.526        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01360        2.339        9.471        0.986        0.273        0.117        1.09301        3.66        0.878        3.79        3.35        7.02
0.139412        0.00135        0.00145        2.709        2.848        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00141        2.779       35.232        0.988        0.104        0.038        3.49230        3.78        0.859        3.93        3.27        4.09
0.139412        0.00137        0.00151        3.000        3.396        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00146        3.198       39.988        0.988        0.122        0.038        3.78934        3.59        0.840        3.51        3.10        3.74
0.139412        0.00484        0.00543        2.796        2.925        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00525        2.861       18.812        0.987        0.207        0.072        1.86403        3.84        0.855        3.99        3.19        4.70
0.139412        0.00243        0.00285        2.800        3.160        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00255        2.980       28.185        0.988        0.150        0.050        2.74639        3.76        0.850        3.84        3.16        4.16
0.139412        0.00243        0.00288        3.092        3.301        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00259        3.196       30.021        0.988        0.163        0.051        2.85588        3.67        0.840        3.62        3.10        3.95
0.139412        0.06456        0.07652        2.314        2.545        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06456        2.429        4.489        0.979        0.617        0.254        0.51625        3.97        0.867        4.27        3.17        8.19
0.139412        0.00249        0.00271        2.685        3.009        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00252        2.847       27.047        0.988        0.143        0.050        2.67101        3.81        0.856        3.95        3.20        4.30
0.139412        0.00234        0.00249        2.456        2.665        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00245        2.561       24.547        0.988        0.127        0.050        2.48864        3.88        0.869        4.15        3.64        4.38
0.139412        0.00137        0.00155        2.955        3.178        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00146        3.122       39.129        0.988        0.119        0.038        3.74127        3.63        0.844        3.59        3.13        3.81
0.139412        0.00139        0.00160        2.921        3.330        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00146        3.126       39.166        0.988        0.119        0.038        3.74334        3.63        0.843        3.59        3.13        3.80
0.139412        0.01299        0.01467        2.556        2.791        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01411        2.585       10.315        0.986        0.307        0.119        1.05970        3.90        0.866        4.16        3.31        6.13
0.139412        0.01332        0.01534        2.533        2.647        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01412        2.590       10.331        0.986        0.308        0.119        1.06092        3.90        0.866        4.15        3.28        6.14
0.139412        0.01292        0.01495        2.475        2.710        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01413        2.592       10.339        0.986        0.308        0.119        1.06157        3.90        0.866        4.15        3.28        6.13
0.126477        0.00252        0.00268        3.219        3.376        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00266        3.297       30.620        0.988        0.170        0.052        2.63109        3.95        0.835        4.07        3.12        4.02
0.126477        0.00146        0.00149        2.958        3.296        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00148        3.127       38.902        0.988        0.120        0.038        3.39725        3.96        0.843        4.15        3.17        3.94
0.126477        0.06399        0.06938        2.454        2.622        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06515        2.538        4.674        0.979        0.648        0.255        0.48275        4.27        0.861        4.75        3.13        7.97
0.126477        0.00504        0.00607        2.742        3.284        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00539        3.013       19.589        0.987        0.221        0.073        1.74201        4.11        0.848        4.41        3.19        4.72
0.126477        0.00520        0.00578        2.985        3.317        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00546        3.151       20.372        0.987        0.233        0.074        1.78595        4.06        0.841        4.29        3.15        4.51
0.126477        0.01455        0.01612        2.524        2.818        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01455        2.671       10.506        0.986        0.322        0.121        0.97431        4.20        0.862        4.64        3.32        6.10
0.126477        0.01452        0.01676        2.755        3.134        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01470        2.850       11.175        0.986        0.346        0.121        1.01941        4.15        0.854        4.51        3.22        5.66
0.126477        0.00480        0.00558        2.813        2.999        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00533        2.906       18.973        0.987        0.212        0.073        1.70483        4.14        0.853        4.50        3.24        4.89
0.126477        0.00247        0.00286        3.393        3.477        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00269        3.435       31.735        0.988        0.178        0.052        2.68148        3.87        0.829        3.90        3.08        3.91
0.126477        0.00144        0.00158        3.082        3.347        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00150        3.314       40.929        0.988        0.129        0.039        3.50077        3.86        0.835        3.92        3.12        3.80
0.126477        0.00240        0.00283        3.027        3.352        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00263        3.189       29.747        0.988        0.164        0.051        2.58723        4.00        0.840        4.19        3.17        4.11
0.126477        0.00135        0.00161        3.060        3.434        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00148        3.154       39.188        0.988        0.121        0.038        3.41259        3.95        0.842        4.12        3.16        3.93
0.126477        0.00145        0.00152        3.088        3.529        0.10        1.0        1.0        1.0        0.0       -2.0       -2.0       -2.0       -2.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00150        3.308       40.870        0.988        0.128        0.039        3.49789        3.86        0.835        3.93        3.12        3.80
