x          rho        P          Br         Bphi       Bz         ur         uphi       uz         T         
0.000000   0.051025   0.075298   0.275785   0.294949   0.326302   0.081491   0.236536   0.398208   0.111813  
0.020020   0.483465   0.349785   0.310195   0.314306   0.253239   0.475930   0.032282   0.496187   0.194576  
0.040040   0.064822   0.234493   0.314225   0.384435   0.387496   0.255726   0.466940   0.155324   0.206961  
0.060060   0.198496   0.185890   0.132382   0.125610   0.225829   0.291985   0.073568   0.384738   0.325298  
0.080080   0.309928   0.014368   0.007193   0.085034   0.209394   0.296527   0.037275   0.090989   0.075287  
0.100100   0.027550   0.058998   0.438491   0.322028   0.218003   0.375065   0.115351   0.314814   0.075110  
0.120120   0.095039   0.342883   0.179964   0.195089   0.117884   0.119463   0.397581   0.353051   0.106635  
0.140140   0.273337   0.129155   0.391007   0.016502   0.389483   0.057930   0.288331   0.281647   0.266821  
0.160160   0.138622   0.353746   0.392460   0.290330   0.092367   0.286655   0.001577   0.450680   0.052283  
0.180180   0.132901   0.424342   0.245694   0.150545   0.170914   0.487015   0.313031   0.180521   0.095468  
0.200200   0.027061   0.191483   0.004848   0.236528   0.046249   0.247043   0.353709   0.079078   0.376663  
0.220220   0.400144   0.254122   0.488436   0.246603   0.184241   0.094024   0.384865   0.213731   0.351354  
0.240240   0.474453   0.341908   0.223351   0.103323   0.350131   0.279070   0.133846   0.116483   0.024824  
0.260260   0.446890   0.092487   0.089895   0.049118   0.350473   0.257435   0.195007   0.332763   0.304356  
0.280280   0.261041   0.300230   0.066775   0.194764   0.135982   0.060497   0.320063   0.355983   0.331070  
0.300300   0.489507   0.209991   0.210425   0.346741   0.178241   0.186921   0.034970   0.252790   0.462462  
0.320320   0.016845   0.109468   0.061374   0.003170   0.384067   0.019778   0.248798   0.345956   0.234062  
0.340340   0.180133   0.018488   0.452003   0.221906   0.191772   0.099544   0.479506   0.323753   0.424513  
0.360360   0.068270   0.084281   0.305349   0.433852   0.137405   0.127100   0.027026   0.376688   0.454201  
0.380380   0.288331   0.478577   0.190604   0.006960   0.461266   0.497663   0.066585   0.092155   0.030673  
0.400400   0.385983   0.485797   0.337849   0.260462   0.201492   0.235435   0.441986   0.235934   0.361676  
0.420420   0.273113   0.247662   0.241360   0.044777   0.381838   0.043138   0.383076   0.148939   0.308363  
0.440440   0.305401   0.441385   0.252531   0.361434   0.035634   0.301695   0.354874   0.105341   0.471523  
0.460460   0.308777   0.362455   0.179715   0.092532   0.491122   0.117462   0.250041   0.483971   0.232253  
0.480480   0.278715   0.124465   0.138676   0.140877   0.122471   0.386570   0.151051   0.032505   0.046931  
0.500501   0.128036   0.396006   0.308723   0.462889   0.254326   0.413273   0.246648   0.379322   0.437802  
0.520521   0.315330   0.382684   0.178253   0.320622   0.059488   0.036211   0.484750   0.253164   0.497591  
0.540541   0.471912   0.327514   0.493575   0.239747   0.148080   0.373543   0.373627   0.121156   0.239238  
0.560561   0.202398   0.336516   0.377367   0.360057   0.086720   0.337804   0.444093   0.106851   0.267710  
0.580581   0.203412   0.295365   0.303769   0.375171   0.118856   0.496739   0.475657   0.131258   0.495100  
0.600601   0.460698   0.078668   0.323649   0.168215   0.029895   0.134274   0.242571   0.247215   0.036769  
0.620621   0.381068   0.413283   0.106587   0.179404   0.281607   0.253880   0.480635   0.294366   0.039026  
0.640641   0.491547   0.145222   0.178559   0.234750   0.351455   0.347673   0.095822   0.365474   0.319524  
0.660661   0.314883   0.387810   0.271805   0.301488   0.469351   0.211531   0.323483   0.008358   0.002813  
0.680681   0.111573   0.287537   0.339500   0.175842   0.023017   0.475232   0.299221   0.291976   0.353873  
0.700701   0.148550   0.345599   0.111226   0.210791   0.481042   0.404058   0.135819   0.272106   0.125308  
0.720721   0.435209   0.347307   0.188942   0.490477   0.159730   0.172146   0.106862   0.107850   0.038717  
0.740741   0.165857   0.204074   0.480647   0.130720   0.432435   0.468779   0.206265   0.396275   0.193675  
