x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99976        0.99978        1.00003        1.68025        0.94748       -0.00167        0.05006       -0.07279        1.00003        0.99990
0.010163        0.99975        0.99978        1.00003        1.68026        0.94748       -0.00170        0.05088       -0.07397        1.00003        0.99990
0.010328        0.99973        0.99976        1.00003        1.68028        0.94748       -0.00173        0.05171       -0.07518        1.00003        0.99989
0.010496        0.99971        0.99974        1.00003        1.68030        0.94748       -0.00176        0.05255       -0.07640        1.00004        0.99989
0.010667        0.99970        0.99973        1.00003        1.68032        0.94748       -0.00178        0.05340       -0.07764        1.00004        0.99988
0.010840        0.99968        0.99971        1.00003        1.68033        0.94748       -0.00181        0.05427       -0.07890        1.00004        0.99988
0.011016        0.99966        0.99969        1.00003        1.68035        0.94748       -0.00184        0.05516       -0.08019        1.00004        0.99987
0.011196        0.99964        0.99967        1.00003        1.68037        0.94748       -0.00187        0.05605       -0.08149        1.00004        0.99986
0.011378        0.99962        0.99965        1.00004        1.68039        0.94747       -0.00190        0.05697       -0.08282        1.00004        0.99986
0.011563        0.99960        0.99964        1.00004        1.68041        0.94747       -0.00193        0.05789       -0.08416        1.00005        0.99985
0.011751        0.99958        0.99962        1.00004        1.68043        0.94747       -0.00197        0.05884       -0.08553        1.00005        0.99985
0.011942        0.99956        0.99960        1.00004        1.68046        0.94747       -0.00200        0.05979       -0.08692        1.00005        0.99984
0.012136        0.99954        0.99958        1.00004        1.68048        0.94747       -0.00203        0.06077       -0.08834        1.00005        0.99984
0.012334        0.99952        0.99956        1.00004        1.68050        0.94747       -0.00206        0.06175       -0.08977        1.00005        0.99983
0.012534        0.99950        0.99954        1.00004        1.68052        0.94747       -0.00210        0.06276       -0.09123        1.00005        0.99982
0.012738        0.99947        0.99952        1.00005        1.68054        0.94746       -0.00213        0.06378       -0.09272        1.00006        0.99982
0.012945        0.99945        0.99950        1.00005        1.68056        0.94746       -0.00217        0.06482       -0.09422        1.00006        0.99981
0.013156        0.99943        0.99948        1.00005        1.68059        0.94746       -0.00220        0.06587       -0.09576        1.00006        0.99981
0.013370        0.99941        0.99946        1.00005        1.68061        0.94746       -0.00224        0.06695       -0.09731        1.00006        0.99980
0.013587        0.99938        0.99943        1.00005        1.68063        0.94746       -0.00227        0.06803       -0.09890        1.00006        0.99979
0.013808        0.99936        0.99941        1.00005        1.68066        0.94746       -0.00231        0.06914       -0.10050        1.00007        0.99979
0.014033        0.99933        0.99939        1.00006        1.68068        0.94746       -0.00235        0.07027       -0.10214        1.00007        0.99978
0.014261        0.99931        0.99937        1.00006        1.68071        0.94745       -0.00239        0.07141       -0.10380        1.00007        0.99977
0.014493        0.99929        0.99934        1.00006        1.68073        0.94745       -0.00242        0.07257       -0.10549        1.00007        0.99977
0.014729        0.99926        0.99932        1.00006        1.68076        0.94745       -0.00246        0.07375       -0.10720        1.00008        0.99976
0.014968        0.99923        0.99930        1.00006        1.68079        0.94745       -0.00250        0.07495       -0.10895        1.00008        0.99975
0.015212        0.99921        0.99927        1.00006        1.68081        0.94745       -0.00255        0.07617       -0.11072        1.00008        0.99974
0.015459        0.99918        0.99925        1.00007        1.68084        0.94745       -0.00259        0.07741       -0.11252        1.00008        0.99974
0.015711        0.99915        0.99922        1.00007        1.68087        0.94744       -0.00263        0.07867       -0.11435        1.00008        0.99973
0.015966        0.99913        0.99920        1.00007        1.68089        0.94744       -0.00267        0.07995       -0.11621        1.00009        0.99972
0.016226        0.99910        0.99917        1.00007        1.68092        0.94744       -0.00272        0.08125       -0.11810        1.00009        0.99971
0.016490        0.99907        0.99915        1.00007        1.68095        0.94744       -0.00276        0.08257       -0.12002        1.00009        0.99971
0.016758        0.99904        0.99912        1.00008        1.68098        0.94744       -0.00280        0.08392       -0.12197        1.00009        0.99970
0.017031        0.99901        0.99909        1.00008        1.68101        0.94744       -0.00285        0.08528       -0.12395        1.00010        0.99969
0.017308        0.99898        0.99906        1.00008        1.68104        0.94743       -0.00290        0.08667       -0.12597        1.00010        0.99968
0.017589        0.99895        0.99904        1.00008        1.68107        0.94743       -0.00294        0.08808       -0.12802        1.00010        0.99967
0.017875        0.99892        0.99901        1.00008        1.68110        0.94743       -0.00299        0.08951       -0.13010        1.00011        0.99966
0.018166        0.99889        0.99898        1.00009        1.68113        0.94743       -0.00304        0.09097       -0.13222        1.00011        0.99965
0.018461        0.99886        0.99895        1.00009        1.68117        0.94743       -0.00309        0.09245       -0.13437        1.00011        0.99965
0.018762        0.99883        0.99892        1.00009        1.68120        0.94742       -0.00314        0.09395       -0.13655        1.00011        0.99964
0.019067        0.99879        0.99889        1.00009        1.68123        0.94742       -0.00319        0.09548       -0.13877        1.00012        0.99963
0.019377        0.99876        0.99886        1.00010        1.68127        0.94742       -0.00324        0.09704       -0.14103        1.00012        0.99962
0.019692        0.99873        0.99883        1.00010        1.68130        0.94742       -0.00330        0.09862       -0.14332        1.00012        0.99961
0.020012        0.99869        0.99879        1.00010        1.68134        0.94742       -0.00335        0.10022       -0.14565        1.00013        0.99960
0.020338        0.99864        0.99875        1.00010        1.68139        0.94741       -0.00340        0.10185       -0.14802        1.00013        0.99958
0.020669        0.99858        0.99869        1.00011        1.68145        0.94741       -0.00346        0.10351       -0.15043        1.00013        0.99957
0.021005        0.99852        0.99864        1.00011        1.68151        0.94740       -0.00352        0.10520       -0.15287        1.00014        0.99955
0.021347        0.99846        0.99858        1.00012        1.68157        0.94740       -0.00357        0.10691       -0.15536        1.00015        0.99953
0.021694        0.99840        0.99852        1.00012        1.68164        0.94740       -0.00363        0.10865       -0.15788        1.00015        0.99952
0.022047        0.99834        0.99846        1.00013        1.68170        0.94739       -0.00369        0.11042       -0.16045        1.00016        0.99950
0.022405        0.99827        0.99840        1.00013        1.68176        0.94739       -0.00375        0.11222       -0.16306        1.00016        0.99948
0.022770        0.99821        0.99834        1.00013        1.68183        0.94738       -0.00381        0.11405       -0.16571        1.00017        0.99946
0.023140        0.99814        0.99828        1.00014        1.68190        0.94738       -0.00387        0.11591       -0.16840        1.00017        0.99944
0.023516        0.99808        0.99822        1.00014        1.68197        0.94738       -0.00394        0.11779       -0.17114        1.00018        0.99942
0.023899        0.99801        0.99816        1.00015        1.68204        0.94737       -0.00400        0.11971       -0.17392        1.00019        0.99941
0.024288        0.99794        0.99809        1.00015        1.68211        0.94737       -0.00407        0.12166       -0.17675        1.00019        0.99939
0.024683        0.99787        0.99803        1.00016        1.68218        0.94736       -0.00413        0.12364       -0.17962        1.00020        0.99937
0.025084        0.99780        0.99796        1.00016        1.68225        0.94736       -0.00420        0.12566       -0.18254        1.00020        0.99935
0.025492        0.99772        0.99789        1.00017        1.68233        0.94735       -0.00427        0.12770       -0.18551        1.00021        0.99933
0.025907        0.99765        0.99782        1.00017        1.68240        0.94735       -0.00434        0.12978       -0.18853        1.00022        0.99930
0.026328        0.99757        0.99775        1.00018        1.68248        0.94734       -0.00441        0.13190       -0.19159        1.00022        0.99928
0.026756        0.99750        0.99768        1.00018        1.68255        0.94734       -0.00448        0.13404       -0.19471        1.00023        0.99926
0.027192        0.99742        0.99761        1.00019        1.68263        0.94733       -0.00455        0.13623       -0.19787        1.00024        0.99924
0.027634        0.99734        0.99754        1.00020        1.68271        0.94733       -0.00463        0.13844       -0.20109        1.00024        0.99922
0.028083        0.99726        0.99746        1.00020        1.68280        0.94732       -0.00470        0.14070       -0.20436        1.00025        0.99920
0.028540        0.99718        0.99739        1.00021        1.68288        0.94732       -0.00478        0.14299       -0.20768        1.00026        0.99917
0.029004        0.99710        0.99731        1.00021        1.68296        0.94731       -0.00486        0.14532       -0.21106        1.00027        0.99915
0.029476        0.99701        0.99723        1.00022        1.68305        0.94731       -0.00494        0.14768       -0.21449        1.00027        0.99913
0.029955        0.99693        0.99715        1.00023        1.68314        0.94730       -0.00502        0.15009       -0.21798        1.00028        0.99910
0.030443        0.99682        0.99705        1.00023        1.68325        0.94729       -0.00510        0.15253       -0.22152        1.00029        0.99907
0.030938        0.99669        0.99693        1.00024        1.68338        0.94729       -0.00518        0.15502       -0.22512        1.00030        0.99904
0.031441        0.99657        0.99682        1.00025        1.68350        0.94728       -0.00527        0.15755       -0.22877        1.00031        0.99900
0.031952        0.99644        0.99670        1.00026        1.68363        0.94727       -0.00536        0.16012       -0.23249        1.00032        0.99896
0.032472        0.99631        0.99658        1.00027        1.68377        0.94726       -0.00544        0.16273       -0.23627        1.00034        0.99893
0.033000        0.99618        0.99645        1.00028        1.68390        0.94725       -0.00553        0.16539       -0.24011        1.00035        0.99889
0.033537        0.99604        0.99633        1.00029        1.68404        0.94725       -0.00562        0.16808       -0.24401        1.00036        0.99885
0.034083        0.99591        0.99620        1.00030        1.68418        0.94724       -0.00571        0.17082       -0.24797        1.00037        0.99882
0.034637        0.99577        0.99608        1.00031        1.68432        0.94723       -0.00581        0.17361       -0.25200        1.00038        0.99878
0.035200        0.99563        0.99594        1.00032        1.68446        0.94722       -0.00590        0.17644       -0.25610        1.00040        0.99874
0.035773        0.99549        0.99581        1.00033        1.68461        0.94721       -0.00600        0.17932       -0.26026        1.00041        0.99870
0.036355        0.99534        0.99568        1.00034        1.68475        0.94720       -0.00610        0.18224       -0.26449        1.00042        0.99866
0.036946        0.99519        0.99554        1.00035        1.68490        0.94719       -0.00620        0.18521       -0.26878        1.00043        0.99861
0.037547        0.99504        0.99540        1.00036        1.68506        0.94718       -0.00630        0.18823       -0.27315        1.00045        0.99857
0.038158        0.99489        0.99526        1.00037        1.68521        0.94717       -0.00640        0.19130       -0.27759        1.00046        0.99853
0.038778        0.99474        0.99512        1.00038        1.68537        0.94716       -0.00651        0.19442       -0.28210        1.00047        0.99849
0.039409        0.99458        0.99497        1.00039        1.68553        0.94715       -0.00661        0.19759       -0.28668        1.00049        0.99844
0.040050        0.99442        0.99482        1.00040        1.68569        0.94714       -0.00672        0.20081       -0.29134        1.00050        0.99840
0.040701        0.99422        0.99463        1.00042        1.68590        0.94713       -0.00683        0.20409       -0.29607        1.00052        0.99834
0.041363        0.99400        0.99443        1.00043        1.68612        0.94711       -0.00694        0.20742       -0.30088        1.00054        0.99828
0.042036        0.99379        0.99423        1.00045        1.68634        0.94710       -0.00706        0.21081       -0.30576        1.00056        0.99822
0.042720        0.99357        0.99403        1.00046        1.68657        0.94709       -0.00717        0.21425       -0.31073        1.00058        0.99816
0.043415        0.99335        0.99382        1.00048        1.68679        0.94707       -0.00729        0.21775       -0.31577        1.00060        0.99809
0.044121        0.99312        0.99361        1.00049        1.68702        0.94706       -0.00741        0.22131       -0.32090        1.00062        0.99803
0.044839        0.99289        0.99340        1.00051        1.68726        0.94704       -0.00753        0.22492       -0.32611        1.00064        0.99797
0.045568        0.99266        0.99318        1.00053        1.68750        0.94703       -0.00765        0.22860       -0.33141        1.00066        0.99790
0.046309        0.99242        0.99296        1.00054        1.68774        0.94701       -0.00778        0.23233       -0.33679        1.00068        0.99783
0.047062        0.99218        0.99273        1.00056        1.68799        0.94700       -0.00791        0.23612       -0.34226        1.00070        0.99777
0.047828        0.99193        0.99251        1.00058        1.68824        0.94698       -0.00804        0.23998       -0.34781        1.00072        0.99770
0.048606        0.99168        0.99227        1.00060        1.68849        0.94696       -0.00817        0.24390       -0.35346        1.00074        0.99763
0.049396        0.99143        0.99204        1.00061        1.68875        0.94695       -0.00830        0.24788       -0.35920        1.00077        0.99756
0.050200        0.99117        0.99179        1.00063        1.68902        0.94693       -0.00844        0.25193       -0.36503        1.00079        0.99748
0.051016        0.99085        0.99150        1.00065        1.68935        0.94691       -0.00858        0.25605       -0.37095        1.00082        0.99739
