xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.226854        0.03730        2.163        0.03412        0.03920        2.035        2.291        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.17        0.19        0.97        0.418        0.058       20.63        2.78       21.63        1.45         2        2.79        2.95        4.10        8.29        1.16        0.870        0.7416        2.36        4.57        2.4        0.5        0.175        1.65        1.37        1.67        1.50        1.5        0.33        1.02       -0.95        1.29
0.205805        0.03920        2.304        0.03711        0.04061        2.026        2.396        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.38        0.20        0.97        0.456        0.062       22.04        2.69       23.04        1.36         2        2.81        2.96        3.97        8.45        1.15        0.862        0.6883        2.48        4.86        2.6        0.5        0.186        1.70        1.43        1.72        1.59        1.6        0.32        1.11       -0.98        1.32
0.186710        0.04010        2.365        0.04006        0.04419        2.266        2.463        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.46        0.20        0.97        0.473        0.064       22.64        2.85       23.64        1.32         2        2.83        2.96        3.98        8.81        1.16        0.858        0.6324        2.64        5.18        3.0        0.7        0.242        1.75        1.55        1.80        1.80        1.8        0.32        1.12       -1.00        1.33
0.169387        0.04130        2.448        0.04076        0.04637        2.395        2.501        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.58        0.20        0.97        0.498        0.066       23.48        2.76       24.48        1.28         2        2.84        2.97        4.00        8.75        1.16        0.854        0.5815        2.81        5.52        3.3        0.3        0.152        1.81        1.58        1.85        1.80        1.8        0.32        1.14       -1.02        1.34
0.169387        0.04110        2.430        0.03636        0.04113        2.168        2.634        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.55        0.20        0.97        0.492        0.066       23.30        2.82       24.30        1.29         2        2.84        2.97        4.02        9.16        1.16        0.855        0.5807        2.82        5.53        3.3        0.9        0.292        1.82        1.67        1.89        2.06        2.1        0.33        1.12       -1.02        1.33
0.169387        0.03950        2.280        0.03947        0.04319        2.100        2.459        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.30        0.20        0.97        0.453        0.062       21.80        2.91       22.80        1.38         2        2.83        2.96        4.00        8.97        1.13        0.863        0.5682        2.88        5.55        3.6        0.4        0.177        1.82        1.63        1.87        1.90        1.9        0.36        1.04       -1.06        1.31
0.139412        0.04290        2.546        0.03913        0.04303        2.383        2.600        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.69        0.21        0.96        0.527        0.070       24.46        2.94       25.46        1.23         2        2.87        2.97        4.07        9.60        1.17        0.848        0.4871        3.22        6.30        4.1        1.0        0.312        1.95        1.87        2.08        2.48        2.5        0.33        1.12       -1.07        1.34
0.139412        0.00080        3.320        0.00078        0.00084        3.296        3.328        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       55.62        0.03        0.99        0.095        0.024       32.20       18.53       33.20        0.93         7        3.09        3.24        3.25        3.68        1.11        0.832        5.0222        3.32        3.73        5.4        0.1        0.031        1.99        0.73     7068.86    73683.62   340537.7        0.33        9.25      -12.13        3.91
0.126477        0.41920        1.432        0.41916        0.50350        1.352        1.507        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        0.92        0.65        0.90        0.927        0.135       13.32        3.88       14.32        2.25         1        2.64        2.83        4.54       17.53        1.13        0.837        0.1531        3.38        9.97        4.5        0.2        0.053        2.00        3.51        2.02        4.24        4.3        0.31        0.54       -0.37        1.12
0.114742        0.00090        3.742        0.00089        0.00093        3.720        3.892        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       60.04        0.03        0.99        0.112        0.028       36.41      -10.01       37.41        0.82         7        3.11        3.24        3.26        3.70        1.13        0.813        4.3321        3.67        4.29        6.1        0.1        0.071        2.12        0.78     4106.86    14709.04    14709.0        0.29        9.95      -12.05        4.15
0.094438        0.00100        4.084        0.00087        0.00100        3.760        4.408        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       62.84        0.03        0.98        0.128        0.032       39.84       -5.98       40.84        0.75         7        3.15        3.27        3.30        3.77        1.14        0.799        3.6691        4.16        5.06        7.2        0.1        0.037        2.28        0.86     3361.11     8352.06     8352.1        0.27        9.97      -12.06        4.18
0.085676        0.00070        4.153        0.00062        0.00071        3.983        4.210        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       76.80        0.03        0.99        0.108        0.029       40.53     -124.56       41.53        0.74         8        3.16        3.26        3.29        3.70        1.14        0.796        4.1128        4.43        5.35        7.8        0.3        0.124        2.35        0.87     5940.10    11343.22    11343.2        0.26       12.19      -14.66        4.91
0.085676        0.00050        3.747        0.00043        0.00047        3.475        3.838        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       84.26        0.02        0.99        0.080        0.022       36.47       -7.32       37.47        0.82         9        3.22        3.31        3.35        3.77        1.12        0.814        4.7103        4.79        5.90        9.0        0.8        0.300        2.41        0.91    15920.07    25968.06    25968.1        0.33       11.84      -18.57        4.87
0.077726        0.00100        4.248        0.00097        0.00103        4.038        4.459        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       63.80        0.03        0.98        0.136        0.035       41.48      -44.02       42.48        0.72         7        3.20        3.31        3.44        3.88        1.15        0.792        3.0829        4.96        6.34        8.9        0.0        0.003        2.51        0.97     4200.93     8125.78     8125.8        0.29        9.23      -12.69        4.00
0.077726        0.00050        3.981        0.00046        0.00051        3.846        4.026        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       87.50        0.02        0.99        0.087        0.024       38.81       -2.63       39.81        0.77         9        3.23        3.31        3.35        3.76        1.13        0.804        4.3854        5.05        6.29        9.4        0.1        0.083        2.52        0.95    14321.31    21921.08    21921.1        0.30       12.50      -18.48        5.08
0.063972        0.00050        4.332        0.00047        0.00052        4.288        4.338        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       91.85        0.02        0.99        0.098        0.028       42.32       -4.57       43.32        0.71         9        3.25        3.34        3.37        3.82        1.15        0.790        3.7661        5.81        7.43       11.1        1.1        0.387        2.70        1.03    18312.86    25706.99    25707.0        0.28       12.77      -18.87        5.20
0.063972        0.00040        4.250        0.00038        0.00043        4.016        4.483        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0      104.91        0.02        0.99        0.083        0.024       41.49       -4.50       42.49        0.72        10        3.25        3.33        3.36        3.74        1.15        0.793        4.3467        5.76        7.29       11.0        0.6        0.265        2.70        1.01    24462.15    31885.46    31885.5        0.28       14.97      -21.52        5.92
0.058037        0.00110        4.882        0.00110        0.00119        4.786        5.171        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       69.63        0.03        0.98        0.165        0.046       47.82       13.89       48.82        0.63         7        3.19        3.30        3.35        3.88        1.17        0.766        2.5327        5.95        7.81       11.2        0.4        0.199        2.77        1.08     5816.03     9489.79     9489.8        0.24       10.64      -13.08        4.44
0.058037        0.54610        2.043        0.50017        0.54606        2.039        2.241        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.74        0.85        1.510        0.211       19.43        4.69       20.43        1.54         1        2.73        2.88        4.97       18.34        1.28        0.770        0.0842        5.59       15.42        7.2        0.4        0.196        2.71        4.97        2.76        5.41        5.8        0.23        0.81       -0.39        1.20
0.058037        0.50640        1.942        0.45576        0.50643        1.805        2.006        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.71        0.86        1.382        0.191       18.42        5.03       19.42        1.63         1        2.71        2.86        5.80       19.90        1.28        0.785        0.0821        5.79       15.23        7.3        0.6        0.242        2.73        5.44        2.80        6.04        6.6        0.25        0.69       -0.39        1.15
0.058037        0.00050        4.515        0.00053        0.00061        4.307        4.723        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       94.34        0.02        0.99        0.104        0.030       44.15       -2.32       45.15        0.68         9        3.26        3.34        3.37        3.83        1.15        0.782        3.5225        6.26        8.08       12.1        1.3        0.427        2.81        1.08    21111.40    28217.43    28217.4        0.28       13.10      -19.29        5.31
0.052652        0.00110        5.051        0.00103        0.00117        4.711        5.391        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       72.93        0.03        0.98        0.169        0.050       49.51      -11.87       50.51        0.61         7        3.14        3.26        3.29        3.79        1.18        0.761        2.5010        6.52        8.65       12.3        0.6        0.272        2.91        1.10     8676.78    12642.82    12642.8        0.24       11.76      -14.38        4.74
0.052652        0.60680        2.199        0.55418        0.64282        1.984        2.296        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.78        0.83        1.713        0.245       20.98        4.79       21.98        1.43         1        2.78        2.91        4.32       18.26        1.27        0.746        0.0796        5.76       16.57        7.9        0.5        0.229        2.79        5.11        2.86        5.62        6.1        0.20        0.98       -0.39        1.25
0.052652        0.52910        1.994        0.49233        0.52907        1.820        2.099        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.73        0.86        1.451        0.202       18.94        5.10       19.94        1.58         1        2.73        2.87        5.45       19.05        1.28        0.777        0.0757        6.23       16.17        8.1        0.3        0.178        2.84        5.42        2.88        5.75        6.3        0.25        0.73       -0.40        1.17
0.047767        0.62190        2.231        0.58948        0.64411        2.002        2.278        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.79        0.83        1.759        0.255       21.31        4.78       22.31        1.41         1        2.79        2.92        4.34       18.11        1.28        0.740        0.0730        6.23       17.50        8.7        0.4        0.194        2.92        5.29        2.96        5.63        6.2        0.20        1.00       -0.39        1.26
0.047767        0.54810        2.035        0.52472        0.54811        1.908        2.220        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.74        0.85        1.506        0.212       19.35        5.27       20.35        1.55         1        2.75        2.88        5.28       19.44        1.28        0.770        0.0696        6.72       17.15        9.0        0.5        0.254        2.97        5.79        3.04        6.20        7.1        0.24        0.76       -0.40        1.18
0.043335        0.63440        2.261        0.62336        0.66751        2.256        2.595        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.80        0.82        1.801        0.262       21.61        5.21       22.61        1.39         1        2.81        2.92        4.37       18.80        1.29        0.735        0.0669        6.75       18.46        9.5        0.6        0.285        3.06        5.75        3.13        6.22        7.1        0.20        1.00       -0.39        1.26
0.043335        0.51230        1.940        0.45416        0.51229        1.885        1.982        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.72        0.86        1.388        0.194       18.40        5.53       19.40        1.63         1        2.73        2.87        6.53       21.36        1.29        0.783        0.0618        7.59       18.09       10.1        0.4        0.210        3.12        6.66        3.16        7.29        8.0        0.27        0.63       -0.41        1.14
0.039314        0.64670        2.276        0.58472        0.69495        2.243        2.310        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.831        0.270       21.77        5.23       22.77        1.38         1        2.82        2.93        4.38       18.48        1.29        0.731        0.0611        7.35       19.51       10.6        0.3        0.176        3.17        5.87        3.21        6.34        6.8        0.20        1.01       -0.40        1.26
0.039314        0.64390        2.270        0.53740        0.64392        2.211        2.545        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.821        0.268       21.70        5.32       22.70        1.38         1        2.82        2.93        4.47       18.74        1.30        0.733        0.0610        7.37       19.50       10.4        0.4        0.229        3.18        5.97        3.23        6.33        7.2        0.20        0.99       -0.40        1.26
0.039314        0.64300        2.266        0.58943        0.64299        2.238        2.434        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.817        0.267       21.66        5.34       22.66        1.38         1        2.82        2.93        4.48       18.28        1.30        0.733        0.0609        7.38       19.49       10.4        0.2        0.119        3.17        5.79        3.18        6.14        6.4        0.20        0.98       -0.40        1.25
0.039314        0.62390        2.210        0.53837        0.62393        1.901        2.284        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.79        0.83        1.746        0.254       21.10        5.45       22.10        1.42         1        2.81        2.92        4.66       18.68        1.29        0.741        0.0602        7.55       19.43       10.6        0.3        0.175        3.19        5.96        3.22        6.47        6.9        0.21        0.92       -0.40        1.23
0.035666        0.66070        2.302        0.57750        0.68401        2.252        2.654        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.81        0.82        1.871        0.278       22.02        5.66       23.02        1.36         1        2.84        2.94        4.40       18.99        1.29        0.726        0.0559        7.98       20.64       11.7        0.5        0.245        3.32        6.31        3.38        7.13        7.9        0.19        1.02       -0.40        1.26
0.035666        0.51750        1.949        0.46796        0.51752        1.893        2.259        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.72        0.86        1.402        0.196       18.49        6.09       19.49        1.62         1        2.75        2.87        6.83       22.57        1.30        0.782        0.0512        9.09       20.48       12.4        0.4        0.241        3.41        7.70        3.48        8.89        9.8        0.27        0.60       -0.42        1.13
0.029355        0.68500        2.350        0.62604        0.69590        2.295        2.736        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.10        0.83        0.81        1.945        0.294       22.50        5.83       23.50        1.33         1        2.86        2.95        4.44       19.34        1.30        0.717        0.0467        9.44       23.11       14.1        0.4        0.240        3.62        7.01        3.71        8.20        8.9        0.19        1.03       -0.41        1.27
