xi              mu             p            mu_min          mu_max          p_min        p_max         ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
10.000000        0.05070        1.102        0.050687        0.053781        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.43        0.23        1.00        0.248        0.079      109.20       20.22      110.20        2.75         1        2.00        2.62        2.89        0.00        0.00        0.99       18.2079        1.05       -0.91        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.96        1.09       -0.72        0.99
10.000000        0.04680        1.102        0.046792        0.051168        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.52        0.22        1.00        0.238        0.074      109.20       19.01      110.20        2.75         1        1.96        2.71        3.15        0.00        0.00        0.99       18.6055        1.05       -0.91        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.94        0.95       -0.54        0.96
10.000000        0.04790        1.286        0.047194        0.051033        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.91        0.22        1.00        0.281        0.090      127.60       18.30      128.60        2.35         1        1.97        2.63        2.71        0.00        0.00        0.99       21.5586        1.04       -0.91        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.94        1.43       -0.75        0.99
7.906043        1.35370        0.918        1.345069        1.483282        0.918        0.918         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.39        1.16        0.99        1.068        0.757       90.80       25.03       91.80        3.30         0        1.01        2.36        2.42        0.00        0.00        0.99        3.2829        1.06       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.05        0.0        0.93        0.77       -0.11        0.95
7.906043        0.04860        1.286        0.043446        0.052189        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.89        0.22        1.00        0.284        0.092      127.60       23.19      128.60        2.35         1        1.98        2.67        2.93        0.00        0.00        0.99       17.2673        1.06       -0.88        0.1        0.0        0.000        0.00        0.00        1.03        0.05        0.1        0.96        1.21       -0.78        0.99
7.906043        0.04830        1.469        0.048246        0.056033        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.32        0.22        1.00        0.323        0.106      145.90       21.78      146.90        2.06         1        1.97        2.59        2.67        0.00        0.00        0.99       19.6352        1.06       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.96        1.56       -0.95        1.00
7.906043        0.04820        1.469        0.046982        0.050943        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.32        0.22        1.00        0.323        0.106      145.90       21.78      146.90        2.06         1        1.97        2.60        2.68        0.00        0.00        0.99       19.6391        1.06       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.96        1.56       -0.94        1.00
6.250552        0.04950        1.469        0.047294        0.051806        1.469        1.469         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.28        0.22        1.00        0.327        0.109      145.90       28.21      146.90        2.06         1        2.00        2.63        2.91        0.00        0.00        0.99       15.5950        1.07       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.05        0.1        0.97        1.33       -0.96        1.00
6.250552        0.04870        1.653        0.045412        0.049407        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.72        0.22        1.00        0.365        0.122      164.30       26.32      165.30        1.83         1        1.98        2.60        2.67        0.00        0.00        0.99       17.4478        1.07       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.04        0.0        0.97        1.66       -1.11        1.01
6.250552        0.04930        1.653        0.049294        0.058079        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.70        0.22        1.00        0.367        0.123      164.30       26.77      165.30        1.83         1        1.99        2.53        2.64        0.00        0.00        0.99       17.3877        1.07       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.04        0.0        0.98        1.64       -1.16        1.01
