xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m       Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
15.000000        0.09140        1.224        0.088481        0.100194        1.224        1.224        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.01        0.30        1.00        0.370        0.062      121.40        4.71      122.40        2.47         1        2.09        2.72        2.90        0.00        0.00        0.99       16.0060        1.02       -0.96        0.0        0.0        0.000        0.00        0.00        1.01        0.03        0.0        0.92        1.28       -0.21        0.98
15.000000        0.08820        1.020        0.088162        0.100917        1.020        1.020        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        1.70        0.30        1.00        0.303        0.049      101.00        5.76      102.00        2.97         1        2.08        2.70        3.28        0.00        0.00        1.00       13.3401        1.02       -0.95        0.0        0.0        0.000        0.00        0.00        1.01        0.04        0.0        0.95        0.93       -0.16        0.96
15.000000        0.08640        1.429        0.074853        0.090274        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.41        0.29        1.00        0.420        0.071      141.90        3.23      142.90        2.11         1        2.06        2.57        2.67        0.00        0.00        0.99       18.5818        1.02       -0.97        0.0        0.0        0.000        0.00        0.00        1.01        0.03        0.0        0.92        1.71       -0.20        0.99
15.000000        0.09110        1.429        0.091061        0.097516        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.35        0.30        1.00        0.431        0.073      141.90        3.37      142.90        2.11         1        2.08        2.54        2.68        0.00        0.00        0.99       18.3584        1.02       -0.97        0.0        0.0        0.000        0.00        0.00        1.01        0.03        0.0        0.94        1.65       -0.25        1.00
11.761338        8.27780        0.408        8.055018        8.352017        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.88        0.99        1.174        0.621       39.80       11.55       40.80        7.54         0        1.56        2.85        2.93        0.00        0.00        0.98        2.1146        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.88        0.89       -0.01        0.91
11.761338        0.10040        1.224        0.100358        0.109926        1.224        1.224        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        1.92        0.32        1.00        0.388        0.072      121.40        8.30      122.40        2.47         1        2.13        2.64        3.08        0.00        0.00        0.99       13.4737        1.03       -0.93        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.97        1.08       -0.38        0.99
11.761338        0.09200        1.429        0.092025        0.097784        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.34        0.30        1.00        0.433        0.081      141.90        6.43      142.90        2.11         1        2.09        2.64        2.81        0.00        0.00        0.99       15.9430        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.94        1.45       -0.38        0.99
11.761338        0.09120        1.224        0.091154        0.095867        1.224        1.224        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.01        0.30        1.00        0.370        0.068      121.40        7.85      122.40        2.47         1        2.09        2.68        3.07        0.00        0.00        0.99       13.8164        1.03       -0.93        0.0        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.96        1.13       -0.32        0.98
11.761338        0.08760        1.429        0.079908        0.090200        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.40        0.30        1.00        0.423        0.078      141.90        6.23      142.90        2.11         1        2.07        2.70        2.85        0.00        0.00        0.99       16.1526        1.03       -0.94        0.0        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.93        1.47       -0.30        0.98
11.761338        0.08190        1.633        0.075895        0.087907        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.84        0.29        1.00        0.467        0.086      162.30        4.52      163.30        1.85         1        2.04        2.59        2.63        0.00        0.00        0.99       18.3007        1.03       -0.95        0.0        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.93        1.91       -0.30        0.99
9.221939        0.08860        1.633        0.076599        0.090324        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.73        0.30        1.00        0.486        0.095      162.30        8.11      163.30        1.85         1        2.08        2.66        2.78        0.00        0.00        0.99       15.1464        1.04       -0.92        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.95        1.62       -0.48        1.00
9.221939        0.08260        1.837        0.078766        0.083830        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.18        0.29        1.00        0.528        0.103      182.70        6.18      183.70        1.64         1        2.05        2.52        2.60        0.00        0.00        0.99       16.8819        1.04       -0.93        0.1        0.0        0.000        0.00        0.00        1.02        0.03        0.0        0.95        2.04       -0.50        1.01
9.221939        0.08720        1.224        0.087202        0.096110        1.224        1.224        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.06        0.30        1.00        0.361        0.070      121.40       11.14      122.40        2.47         1        2.09        2.62        3.32        0.00        0.00        0.99       11.6731        1.05       -0.91        0.1        0.0        0.000        0.00        0.00        1.02        0.05        0.0        0.98        0.98       -0.38        0.98
9.221939        0.08780        1.633        0.084584        0.101497        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.74        0.30        1.00        0.484        0.095      162.30        8.08      163.30        1.85         1        2.08        2.70        2.81        0.00        0.00        0.99       15.1885        1.04       -0.92        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        0.95        1.62       -0.45        0.99
9.221939        0.08950        1.429        0.084743        0.094213        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.37        0.30        1.00        0.427        0.084      141.90        9.78      142.90        2.11         1        2.09        2.67        3.02        0.00        0.00        0.99       13.4471        1.04       -0.91        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.96        1.27       -0.42        0.98
9.221939        7.87280        0.408        7.038779        7.899702        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.81        0.99        1.145        0.602       39.80       14.22       40.80        7.54         0        1.60        2.93        3.13        0.00        0.00        0.98        1.7072        1.04       -0.92        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.90        0.87       -0.02        0.92
9.221939        8.15550        0.408        8.054438        8.863036        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.86        0.99        1.165        0.616       39.80       14.23       40.80        7.54         0        1.60        2.80        2.96        0.00        0.00        0.98        1.6844        1.04       -0.92        0.0        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.91        0.89       -0.03        0.93
7.230823        8.18950        0.408        7.812443        8.566467        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.86        0.98        1.168        0.620       39.80       17.51       40.80        7.54         0        1.63        2.78        3.02        0.00        0.00        0.98        1.3288        1.05       -0.89        0.1        0.0        0.000        0.00        0.00        1.04        0.05        0.0        0.94        0.90       -0.04        0.95
7.230823        6.07180        0.612        5.483961        6.260160        0.612        0.612        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.12        2.46        0.98        1.508        0.866       60.20       17.71       61.20        4.98         0        1.48        2.61        2.63        0.00        0.00        0.98        1.9448        1.05       -0.90        0.1        0.0        0.000        0.00        0.00        1.04        0.04        0.0        0.93        1.09       -0.06        0.94
7.230823        0.09540        1.837        0.095443        0.106187        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.96        0.31        1.00        0.568        0.117      182.70       10.55      183.70        1.64         1        2.11        2.58        2.76        0.00        0.00        0.99       13.4278        1.05       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.98        1.66       -0.69        1.01
7.230823        0.09090        1.633        0.090560        0.095209        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.69        0.30        1.00        0.492        0.101      162.30       12.12      163.30        1.85         1        2.10        2.64        2.98        0.00        0.00        0.99       12.3645        1.06       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.05        0.0        0.97        1.40       -0.55        0.99
7.230823        0.08990        1.837        0.089921        0.093764        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.04        0.30        1.00        0.551        0.113      182.70       10.31      183.70        1.64         1        2.09        2.63        2.75        0.00        0.00        0.99       13.6612        1.05       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.97        1.73       -0.64        1.01
7.230823        0.08860        1.837        0.080073        0.088619        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.07        0.30        1.00        0.547        0.112      182.70       10.21      183.70        1.64         1        2.08        2.69        2.82        0.00        0.00        0.99       13.7207        1.05       -0.89        0.1        0.0        0.000        0.00        0.00        1.03        0.04        0.0        0.96        1.72       -0.59        1.00
