xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2
1.000000        0.00307        0.00346        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.672336        0.03796        0.04502        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.452035        0.03908        0.04552        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.204336        0.05288        0.06166        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.204336        0.00224        0.00259        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.204336        0.00790        0.00912        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.204336        0.00786        0.00917        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.137382        0.05556        0.05976        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.137382        0.05288        0.06166        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.137382        0.00821        0.00897        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.092367        0.01062        0.01213        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.092367        0.00309        0.00351        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.092367        0.05437        0.06281        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.092367        0.00115        0.00131        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.00118        0.00138        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.00062        0.00071        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.05427        0.05961        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.01450        0.01728        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.01093        0.01253        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.00296        0.00353        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.00062        0.00069        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.00033        0.00039        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.92093        1.02885        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.062102        0.07360        0.08316        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.01557        0.01747        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.07104        0.08318        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.07104        0.08318        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.00063        0.00072        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.00085        0.00100        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.00164        0.00184        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.00160        0.00184        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.00440        0.00453        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.07623        0.08551        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.07288        0.08298        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.91783        1.03228        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.041753        0.07104        0.08318        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00325        0.00340        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00218        0.00247        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00091        0.00095        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00034        0.00038        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00013        0.00015        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.01543        0.01629        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00571        0.00648        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.00578        0.00677        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.07322        0.08497        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.07620        0.08034        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.91424        1.08975        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.028072        0.07796        0.08155        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.93066        1.09090        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.07470        0.08353        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.71756        0.75056        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.07520        0.08477        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.07341        0.08186        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.02136        0.02421        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.07810        0.08284        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.02131        0.02330        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.01993        0.02362        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.00044        0.00052        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.00565        0.00622        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.00581        0.00624        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.018874        0.00064        0.00071        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.00018        0.00019        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.10004        0.11637        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.07711        0.08255        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.07198        0.08100        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.07392        0.08325        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.01995        0.02377        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.02007        0.02403        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.02130        0.02310        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.02188        0.02242        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.01536        0.01757        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.01147        0.01228        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.012690        0.00025        0.00027        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.05468        0.06098        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.07849        0.08232        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.07290        0.08251        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.07424        0.07981        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.10330        0.11577        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.92514        1.04711        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.02111        0.02366        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.00561        0.00659        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.00415        0.00491        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.02111        0.02366        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.008532        0.02108        0.02351        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.10453        0.11379        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.10731        0.11174        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.92139        1.07216        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.09744        0.11205        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.07608        0.08611        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.00593        0.00644        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.00602        0.00681        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.01554        0.01759        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.02112        0.02292        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.02737        0.03065        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.005736        0.07449        0.08026        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.02016        0.02330        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.01546        0.01650        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.00606        0.00676        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.00592        0.00639        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.00596        0.00636        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.07648        0.08231        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.90787        1.06537        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.96599        1.09940        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.09868        0.11404        4.731        4.731        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.09799        0.11358        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.09868        0.11404        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.09868        0.11404        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.07212        0.08636        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.02882        0.03320        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.003857        0.05567        0.05991        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.00565        0.00645        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.01503        0.01646        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.00562        0.00673        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.02092        0.02370        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.02016        0.02432        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.00566        0.00683        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.94834        1.08575        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
