x               rho            P              T            ur           uphi        uz         Br           Bphi        Bz
0.010000        0.99966        0.99968        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010163        0.99965        0.99966        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010328        0.99962        0.99964        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010496        0.99959        0.99961        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010667        0.99956        0.99958        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.010840        0.99953        0.99955        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011016        0.99950        0.99952        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011196        0.99947        0.99949        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011378        0.99944        0.99946        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011563        0.99941        0.99943        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011751        0.99938        0.99940        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011942        0.99935        0.99937        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012136        0.99932        0.99934        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012334        0.99928        0.99931        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012534        0.99925        0.99927        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012738        0.99921        0.99924        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012945        0.99918        0.99921        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013156        0.99914        0.99917        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013370        0.99911        0.99914        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013587        0.99907        0.99910        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.013808        0.99903        0.99907        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014033        0.99900        0.99903        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014261        0.99896        0.99899        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014493        0.99892        0.99895        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014729        0.99888        0.99892        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
0.014968        0.99884        0.99888        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
0.015212        0.99880        0.99884        1.000        1.000        1.00       -0.0       -0.015       -0.02       -0.0
0.015459        0.99876        0.99880        1.000        1.000        1.00       -0.0       -0.015       -0.02       -0.0
0.015711        0.99871        0.99875        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.015966        0.99867        0.99871        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016226        0.99863        0.99867        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016490        0.99858        0.99863        1.000        1.000        1.00       -0.0       -0.016       -0.02       -0.0
0.016758        0.99854        0.99858        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017031        0.99849        0.99854        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017308        0.99844        0.99849        1.000        1.000        1.00       -0.0       -0.017       -0.02       -0.0
0.017589        0.99840        0.99845        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.017875        0.99835        0.99840        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018166        0.99830        0.99835        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018461        0.99825        0.99830        1.000        1.000        1.00       -0.0       -0.018       -0.02       -0.0
0.018762        0.99820        0.99825        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019067        0.99815        0.99820        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019377        0.99810        0.99815        1.000        1.000        1.00       -0.0       -0.019       -0.02       -0.0
0.019692        0.99804        0.99810        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020012        0.99799        0.99805        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020338        0.99791        0.99797        1.000        1.000        1.00       -0.0       -0.020       -0.02       -0.0
0.020669        0.99781        0.99788        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021005        0.99772        0.99779        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021347        0.99762        0.99770        1.000        1.000        1.00       -0.0       -0.021       -0.02       -0.0
0.021694        0.99753        0.99760        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022047        0.99743        0.99751        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022405        0.99733        0.99741        1.000        1.000        1.00       -0.0       -0.022       -0.02       -0.0
0.022770        0.99723        0.99731        1.000        1.000        1.00       -0.0       -0.023       -0.02       -0.0
0.023140        0.99712        0.99721        1.000        1.000        1.00       -0.0       -0.023       -0.02       -0.0
0.023516        0.99702        0.99711        1.000        0.999        1.00       -0.0       -0.023       -0.02       -0.0
0.023899        0.99691        0.99700        1.000        0.999        1.00       -0.0       -0.024       -0.02       -0.0
0.024288        0.99680        0.99690        1.000        0.999        1.00       -0.0       -0.024       -0.02       -0.0
0.024683        0.99669        0.99679        1.000        0.999        1.00       -0.0       -0.025       -0.02       -0.0
0.025084        0.99658        0.99668        1.000        0.999        1.00       -0.0       -0.025       -0.03       -0.0
0.025492        0.99646        0.99657        1.000        0.999        1.00       -0.0       -0.025       -0.03       -0.0
0.025907        0.99635        0.99645        1.000        0.999        1.00       -0.0       -0.026       -0.03       -0.0
0.026328        0.99623        0.99634        1.000        0.999        1.00       -0.0       -0.026       -0.03       -0.0
0.026756        0.99611        0.99622        1.000        0.999        1.00       -0.0       -0.027       -0.03       -0.0
0.027192        0.99599        0.99610        1.000        0.999        1.00       -0.0       -0.027       -0.03       -0.0
0.027634        0.99586        0.99598        1.000        0.999        1.00       -0.0       -0.028       -0.03       -0.0
0.028083        0.99574        0.99586        1.000        0.999        1.00       -0.0       -0.028       -0.03       -0.0
0.028540        0.99561        0.99574        1.000        0.999        1.00       -0.0       -0.028       -0.03       -0.0
0.029004        0.99548        0.99561        1.000        0.999        1.00       -0.0       -0.029       -0.03       -0.0
0.029476        0.99535        0.99548        1.000        0.999        1.00       -0.0       -0.029       -0.03       -0.0
0.029955        0.99522        0.99535        1.000        0.999        1.00       -0.0       -0.030       -0.03       -0.0
0.030443        0.99504        0.99518        1.000        0.999        1.00       -0.0       -0.030       -0.03       -0.0
0.030938        0.99485        0.99499        1.000        0.999        1.00       -0.0       -0.031       -0.03       -0.0
0.031441        0.99465        0.99480        1.000        0.999        1.00       -0.0       -0.031       -0.03       -0.0
0.031952        0.99445        0.99461        1.000        0.999        1.00       -0.0       -0.032       -0.03       -0.0
0.032472        0.99425        0.99441        1.000        0.999        1.00       -0.0       -0.032       -0.03       -0.0
