x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz             m
0.010000        0.99947        0.99949        1.00002        2.82995        0.84574       -0.00282        0.03522       -0.01933        1.00002        0.99990
0.010163        0.99946        0.99948        1.00002        2.82995        0.84573       -0.00287        0.03580       -0.01964        1.00002        0.99990
0.010328        0.99943        0.99945        1.00002        2.82995        0.84573       -0.00291        0.03638       -0.01996        1.00002        0.99989
0.010496        0.99940        0.99942        1.00002        2.82996        0.84572       -0.00296        0.03697       -0.02029        1.00002        0.99989
0.010667        0.99937        0.99939        1.00002        2.82996        0.84572       -0.00301        0.03757       -0.02062        1.00003        0.99988
0.010840        0.99934        0.99936        1.00002        2.82996        0.84571       -0.00306        0.03818       -0.02095        1.00003        0.99988
0.011016        0.99931        0.99934        1.00002        2.82997        0.84571       -0.00311        0.03880       -0.02129        1.00003        0.99987
0.011196        0.99928        0.99931        1.00002        2.82997        0.84571       -0.00316        0.03944       -0.02164        1.00003        0.99986
0.011378        0.99925        0.99928        1.00002        2.82997        0.84570       -0.00321        0.04008       -0.02199        1.00003        0.99986
0.011563        0.99922        0.99925        1.00003        2.82998        0.84570       -0.00326        0.04073       -0.02235        1.00003        0.99985
0.011751        0.99919        0.99921        1.00003        2.82998        0.84569       -0.00331        0.04139       -0.02271        1.00003        0.99985
0.011942        0.99915        0.99918        1.00003        2.82998        0.84569       -0.00337        0.04206       -0.02308        1.00003        0.99984
0.012136        0.99912        0.99915        1.00003        2.82999        0.84568       -0.00342        0.04275       -0.02345        1.00004        0.99984
0.012334        0.99909        0.99912        1.00003        2.82999        0.84568       -0.00348        0.04344       -0.02383        1.00004        0.99983
0.012534        0.99905        0.99908        1.00003        2.82999        0.84567       -0.00353        0.04415       -0.02422        1.00004        0.99982
0.012738        0.99902        0.99905        1.00003        2.83000        0.84566       -0.00359        0.04487       -0.02461        1.00004        0.99982
0.012945        0.99898        0.99902        1.00003        2.83000        0.84566       -0.00365        0.04560       -0.02501        1.00004        0.99981
0.013156        0.99895        0.99898        1.00003        2.83001        0.84565       -0.00371        0.04634       -0.02542        1.00004        0.99981
0.013370        0.99891        0.99895        1.00004        2.83001        0.84565       -0.00377        0.04710       -0.02583        1.00004        0.99980
0.013587        0.99887        0.99891        1.00004        2.83001        0.84564       -0.00383        0.04786       -0.02625        1.00005        0.99979
0.013808        0.99884        0.99887        1.00004        2.83002        0.84564       -0.00389        0.04864       -0.02668        1.00005        0.99979
0.014033        0.99880        0.99884        1.00004        2.83002        0.84563       -0.00396        0.04943       -0.02711        1.00005        0.99978
0.014261        0.99876        0.99880        1.00004        2.83003        0.84562       -0.00402        0.05024       -0.02755        1.00005        0.99977
0.014493        0.99872        0.99876        1.00004        2.83003        0.84562       -0.00409        0.05105       -0.02800        1.00005        0.99977
0.014729        0.99868        0.99872        1.00004        2.83003        0.84561       -0.00415        0.05188       -0.02846        1.00005        0.99976
0.014968        0.99864        0.99868        1.00004        2.83004        0.84561       -0.00422        0.05273       -0.02892        1.00005        0.99975
0.015212        0.99860        0.99864        1.00005        2.83004        0.84560       -0.00429        0.05358       -0.02939        1.00006        0.99974
0.015459        0.99855        0.99860        1.00005        2.83005        0.84559       -0.00436        0.05446       -0.02987        1.00006        0.99974
0.015711        0.99851        0.99856        1.00005        2.83005        0.84559       -0.00443        0.05534       -0.03035        1.00006        0.99973
0.015966        0.99847        0.99852        1.00005        2.83006        0.84558       -0.00450        0.05624       -0.03085        1.00006        0.99972
0.016226        0.99842        0.99847        1.00005        2.83006        0.84557       -0.00458        0.05716       -0.03135        1.00006        0.99971
0.016490        0.99838        0.99843        1.00005        2.83007        0.84556       -0.00465        0.05809       -0.03186        1.00006        0.99971
0.016758        0.99833        0.99839        1.00005        2.83007        0.84556       -0.00473        0.05903       -0.03237        1.00007        0.99970
0.017031        0.99829        0.99834        1.00005        2.83008        0.84555       -0.00480        0.05999       -0.03290        1.00007        0.99969
0.017308        0.99824        0.99830        1.00006        2.83008        0.84554       -0.00488        0.06097       -0.03344        1.00007        0.99968
0.017589        0.99819        0.99825        1.00006        2.83009        0.84554       -0.00496        0.06196       -0.03398        1.00007        0.99967
0.017875        0.99814        0.99820        1.00006        2.83009        0.84553       -0.00504        0.06297       -0.03453        1.00007        0.99966
0.018166        0.99809        0.99815        1.00006        2.83010        0.84552       -0.00512        0.06399       -0.03509        1.00008        0.99965
0.018461        0.99804        0.99811        1.00006        2.83010        0.84551       -0.00521        0.06503       -0.03566        1.00008        0.99965
0.018762        0.99799        0.99806        1.00006        2.83011        0.84550       -0.00529        0.06609       -0.03624        1.00008        0.99964
0.019067        0.99794        0.99801        1.00007        2.83011        0.84550       -0.00538        0.06717       -0.03683        1.00008        0.99963
0.019377        0.99789        0.99795        1.00007        2.83012        0.84549       -0.00546        0.06826       -0.03743        1.00008        0.99962
0.019692        0.99783        0.99790        1.00007        2.83013        0.84548       -0.00555        0.06937       -0.03804        1.00009        0.99961
0.020012        0.99778        0.99785        1.00007        2.83013        0.84547       -0.00564        0.07050       -0.03866        1.00009        0.99960
0.020338        0.99770        0.99777        1.00007        2.83014        0.84546       -0.00574        0.07164       -0.03928        1.00009        0.99958
0.020669        0.99760        0.99768        1.00008        2.83015        0.84544       -0.00583        0.07281       -0.03992        1.00010        0.99957
0.021005        0.99751        0.99759        1.00008        2.83016        0.84543       -0.00592        0.07400       -0.04057        1.00010        0.99955
0.021347        0.99741        0.99749        1.00008        2.83017        0.84541       -0.00602        0.07520       -0.04123        1.00010        0.99953
0.021694        0.99731        0.99740        1.00009        2.83018        0.84540       -0.00612        0.07642       -0.04189        1.00011        0.99952
0.022047        0.99721        0.99730        1.00009        2.83019        0.84538       -0.00622        0.07767       -0.04257        1.00011        0.99950
0.022405        0.99711        0.99720        1.00009        2.83020        0.84537       -0.00632        0.07893       -0.04326        1.00011        0.99948
0.022770        0.99701        0.99710        1.00009        2.83021        0.84535       -0.00642        0.08022       -0.04397        1.00012        0.99946
0.023140        0.99690        0.99700        1.00010        2.83022        0.84533       -0.00653        0.08152       -0.04468        1.00012        0.99944
0.023516        0.99680        0.99690        1.00010        2.83023        0.84532       -0.00663        0.08285       -0.04540        1.00013        0.99942
0.023899        0.99669        0.99679        1.00010        2.83024        0.84530       -0.00674        0.08420       -0.04614        1.00013        0.99941
0.024288        0.99658        0.99669        1.00011        2.83025        0.84528       -0.00685        0.08557       -0.04689        1.00014        0.99939
0.024683        0.99647        0.99658        1.00011        2.83026        0.84527       -0.00696        0.08696       -0.04765        1.00014        0.99937
0.025084        0.99635        0.99647        1.00012        2.83027        0.84525       -0.00707        0.08837       -0.04842        1.00014        0.99935
0.025492        0.99624        0.99635        1.00012        2.83029        0.84523       -0.00719        0.08981       -0.04921        1.00015        0.99933
0.025907        0.99612        0.99624        1.00012        2.83030        0.84521       -0.00731        0.09127       -0.05001        1.00015        0.99930
0.026328        0.99600        0.99613        1.00013        2.83031        0.84519       -0.00743        0.09276       -0.05082        1.00016        0.99928
0.026756        0.99588        0.99601        1.00013        2.83032        0.84518       -0.00755        0.09427       -0.05164        1.00016        0.99926
0.027192        0.99575        0.99589        1.00013        2.83033        0.84516       -0.00767        0.09580       -0.05248        1.00017        0.99924
0.027634        0.99563        0.99577        1.00014        2.83035        0.84514       -0.00779        0.09736       -0.05333        1.00017        0.99922
0.028083        0.99550        0.99564        1.00014        2.83036        0.84512       -0.00792        0.09894       -0.05420        1.00018        0.99920
0.028540        0.99537        0.99552        1.00015        2.83037        0.84510       -0.00805        0.10055       -0.05508        1.00018        0.99917
0.029004        0.99524        0.99539        1.00015        2.83038        0.84508       -0.00818        0.10219       -0.05597        1.00019        0.99915
0.029476        0.99511        0.99526        1.00015        2.83040        0.84506       -0.00831        0.10385       -0.05688        1.00019        0.99913
0.029955        0.99497        0.99513        1.00016        2.83041        0.84503       -0.00845        0.10554       -0.05780        1.00020        0.99910
0.030443        0.99480        0.99496        1.00016        2.83043        0.84501       -0.00859        0.10726       -0.05874        1.00020        0.99907
0.030938        0.99460        0.99477        1.00017        2.83045        0.84498       -0.00873        0.10901       -0.05969        1.00021        0.99904
0.031441        0.99440        0.99458        1.00018        2.83046        0.84494       -0.00887        0.11078       -0.06065        1.00022        0.99900
0.031952        0.99420        0.99438        1.00018        2.83048        0.84491       -0.00901        0.11259       -0.06164        1.00023        0.99896
0.032472        0.99399        0.99418        1.00019        2.83050        0.84488       -0.00916        0.11442       -0.06263        1.00024        0.99893
0.033000        0.99378        0.99398        1.00020        2.83052        0.84485       -0.00931        0.11628       -0.06365        1.00024        0.99889
0.033537        0.99357        0.99377        1.00020        2.83054        0.84482       -0.00946        0.11817       -0.06468        1.00025        0.99885
0.034083        0.99335        0.99356        1.00021        2.83055        0.84478       -0.00961        0.12010       -0.06572        1.00026        0.99882
0.034637        0.99314        0.99335        1.00022        2.83057        0.84475       -0.00977        0.12205       -0.06678        1.00027        0.99878
0.035200        0.99291        0.99313        1.00022        2.83059        0.84471       -0.00993        0.12404       -0.06787        1.00028        0.99874
0.035773        0.99269        0.99291        1.00023        2.83061        0.84468       -0.01009        0.12606       -0.06896        1.00029        0.99870
0.036355        0.99246        0.99269        1.00024        2.83063        0.84464       -0.01025        0.12811       -0.07008        1.00030        0.99866
0.036946        0.99222        0.99246        1.00024        2.83065        0.84460       -0.01042        0.13020       -0.07121        1.00031        0.99861
0.037547        0.99198        0.99223        1.00025        2.83068        0.84457       -0.01059        0.13232       -0.07237        1.00031        0.99857
0.038158        0.99174        0.99200        1.00026        2.83070        0.84453       -0.01076        0.13447       -0.07354        1.00032        0.99853
0.038778        0.99150        0.99176        1.00027        2.83072        0.84449       -0.01094        0.13666       -0.07473        1.00033        0.99849
0.039409        0.99125        0.99152        1.00027        2.83074        0.84445       -0.01112        0.13888       -0.07594        1.00034        0.99844
0.040050        0.99099        0.99127        1.00028        2.83076        0.84441       -0.01130        0.14114       -0.07717        1.00035        0.99840
0.040701        0.99067        0.99096        1.00029        2.83079        0.84436       -0.01148        0.14344       -0.07841        1.00037        0.99834
0.041363        0.99033        0.99063        1.00030        2.83081        0.84431       -0.01167        0.14578       -0.07968        1.00038        0.99828
0.042036        0.98999        0.99030        1.00031        2.83083        0.84425       -0.01186        0.14816       -0.08096        1.00039        0.99822
0.042720        0.98964        0.98996        1.00032        2.83086        0.84420       -0.01205        0.15057       -0.08227        1.00041        0.99816
0.043415        0.98929        0.98962        1.00034        2.83088        0.84415       -0.01225        0.15302       -0.08359        1.00042        0.99809
0.044121        0.98893        0.98927        1.00035        2.83091        0.84409       -0.01245        0.15551       -0.08494        1.00043        0.99803
0.044839        0.98857        0.98892        1.00036        2.83094        0.84403       -0.01265        0.15805       -0.08631        1.00045        0.99797
0.045568        0.98820        0.98856        1.00037        2.83096        0.84397       -0.01285        0.16062       -0.08770        1.00046        0.99790
0.046309        0.98782        0.98820        1.00038        2.83099        0.84391       -0.01306        0.16324       -0.08912        1.00048        0.99783
0.047062        0.98744        0.98783        1.00039        2.83102        0.84385       -0.01328        0.16590       -0.09055        1.00049        0.99777
0.047828        0.98705        0.98745        1.00041        2.83104        0.84379       -0.01349        0.16860       -0.09201        1.00051        0.99770
0.048606        0.98665        0.98707        1.00042        2.83107        0.84373       -0.01371        0.17134       -0.09350        1.00052        0.99763
0.049396        0.98625        0.98668        1.00043        2.83110        0.84367       -0.01393        0.17414       -0.09501        1.00054        0.99756
0.050200        0.98583        0.98627        1.00044        2.83113        0.84360       -0.01416        0.17697       -0.09654        1.00055        0.99748
0.051016        0.98533        0.98578        1.00046        2.83116        0.84352       -0.01439        0.17986       -0.09809        1.00057        0.99739
0.051846        0.98481        0.98528        1.00048        2.83118        0.84344       -0.01463        0.18279       -0.09966        1.00059        0.99730
0.052689        0.98429        0.98477        1.00049        2.83121        0.84336       -0.01486        0.18577       -0.10126        1.00061        0.99721
0.053546        0.98376        0.98426        1.00051        2.83124        0.84328       -0.01511        0.18880       -0.10289        1.00064        0.99711
0.054417        0.98322        0.98374        1.00053        2.83126        0.84319       -0.01535        0.19187       -0.10454        1.00066        0.99702
0.055302        0.98267        0.98320        1.00054        2.83129        0.84311       -0.01560        0.19500       -0.10622        1.00068        0.99692
0.056202        0.98211        0.98266        1.00056        2.83132        0.84302       -0.01586        0.19818       -0.10792        1.00070        0.99682
0.057116        0.98155        0.98212        1.00058        2.83135        0.84293       -0.01611        0.20141       -0.10966        1.00072        0.99672
0.058045        0.98097        0.98156        1.00060        2.83138        0.84284       -0.01638        0.20469       -0.11142        1.00075        0.99662
0.058989        0.98039        0.98099        1.00062        2.83141        0.84275       -0.01664        0.20803       -0.11321        1.00077        0.99652
0.059948        0.97979        0.98041        1.00063        2.83144        0.84265       -0.01691        0.21142       -0.11503        1.00079        0.99641
0.060923        0.97910        0.97974        1.00066        2.83146        0.84254       -0.01719        0.21487       -0.11686        1.00082        0.99629
0.061914        0.97837        0.97904        1.00068        2.83148        0.84243       -0.01747        0.21837       -0.11873        1.00085        0.99616
0.062921        0.97764        0.97832        1.00070        2.83150        0.84231       -0.01775        0.22193       -0.12062        1.00088        0.99603
0.063945        0.97689        0.97760        1.00073        2.83151        0.84219       -0.01804        0.22556       -0.12255        1.00091        0.99590
0.064985        0.97613        0.97686        1.00075        2.83153        0.84207       -0.01833        0.22923       -0.12451        1.00094        0.99576
0.066042        0.97536        0.97611        1.00077        2.83155        0.84195       -0.01863        0.23297       -0.12650        1.00097        0.99562
0.067116        0.97457        0.97535        1.00080        2.83157        0.84183       -0.01894        0.23677       -0.12852        1.00100        0.99548
0.068208        0.97377        0.97458        1.00082        2.83159        0.84170       -0.01924        0.24063       -0.13057        1.00103        0.99534
0.069317        0.97296        0.97379        1.00085        2.83162        0.84157       -0.01956        0.24456       -0.13266        1.00106        0.99520
