x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz
0.010000        0.99974        0.99977        1.00002        1.00015        0.99999       -0.00996       -0.01000       -0.01000       -0.01000
0.010163        0.99973        0.99976        1.00002        1.00016        0.99999       -0.01013       -0.01016       -0.01016       -0.01016
0.010328        0.99971        0.99974        1.00003        1.00017        0.99999       -0.01029       -0.01033       -0.01033       -0.01033
0.010496        0.99969        0.99972        1.00003        1.00018        0.99999       -0.01046       -0.01050       -0.01050       -0.01050
0.010667        0.99967        0.99970        1.00003        1.00020        0.99998       -0.01063       -0.01067       -0.01067       -0.01067
0.010840        0.99965        0.99968        1.00003        1.00021        0.99998       -0.01080       -0.01084       -0.01084       -0.01084
0.011016        0.99963        0.99966        1.00003        1.00023        0.99998       -0.01098       -0.01102       -0.01102       -0.01102
0.011196        0.99961        0.99964        1.00003        1.00024        0.99998       -0.01116       -0.01120       -0.01120       -0.01120
0.011378        0.99958        0.99962        1.00003        1.00026        0.99998       -0.01134       -0.01138       -0.01138       -0.01138
0.011563        0.99956        0.99959        1.00003        1.00027        0.99998       -0.01152       -0.01156       -0.01156       -0.01156
0.011751        0.99954        0.99957        1.00004        1.00029        0.99998       -0.01171       -0.01175       -0.01175       -0.01175
0.011942        0.99951        0.99955        1.00004        1.00030        0.99998       -0.01190       -0.01194       -0.01194       -0.01194
0.012136        0.99949        0.99953        1.00004        1.00032        0.99998       -0.01209       -0.01214       -0.01214       -0.01214
0.012334        0.99947        0.99951        1.00004        1.00034        0.99998       -0.01229       -0.01233       -0.01233       -0.01233
0.012534        0.99944        0.99948        1.00004        1.00035        0.99997       -0.01249       -0.01253       -0.01253       -0.01253
0.012738        0.99942        0.99946        1.00004        1.00037        0.99997       -0.01270       -0.01274       -0.01274       -0.01274
0.012945        0.99939        0.99943        1.00004        1.00039        0.99997       -0.01290       -0.01294       -0.01294       -0.01294
0.013156        0.99937        0.99941        1.00005        1.00040        0.99997       -0.01311       -0.01315       -0.01315       -0.01315
0.013370        0.99934        0.99939        1.00005        1.00042        0.99997       -0.01333       -0.01337       -0.01337       -0.01337
0.013587        0.99931        0.99936        1.00005        1.00044        0.99997       -0.01354       -0.01359       -0.01359       -0.01359
0.013808        0.99928        0.99933        1.00005        1.00046        0.99997       -0.01376       -0.01381       -0.01381       -0.01381
0.014033        0.99926        0.99931        1.00005        1.00048        0.99997       -0.01399       -0.01403       -0.01403       -0.01403
0.014261        0.99923        0.99928        1.00005        1.00050        0.99996       -0.01422       -0.01426       -0.01426       -0.01426
0.014493        0.99920        0.99925        1.00005        1.00052        0.99996       -0.01445       -0.01449       -0.01449       -0.01449
0.014729        0.99917        0.99923        1.00006        1.00053        0.99996       -0.01468       -0.01473       -0.01473       -0.01473
0.014968        0.99914        0.99920        1.00006        1.00055        0.99996       -0.01492       -0.01497       -0.01497       -0.01497
0.015212        0.99911        0.99917        1.00006        1.00057        0.99996       -0.01516       -0.01521       -0.01521       -0.01521
0.015459        0.99908        0.99914        1.00006        1.00060        0.99996       -0.01541       -0.01546       -0.01546       -0.01546
0.015711        0.99905        0.99911        1.00006        1.00062        0.99996       -0.01566       -0.01571       -0.01571       -0.01571
0.015966        0.99902        0.99908        1.00006        1.00064        0.99995       -0.01592       -0.01596       -0.01596       -0.01596
0.016226        0.99899        0.99905        1.00007        1.00066        0.99995       -0.01618       -0.01622       -0.01622       -0.01622
0.016490        0.99896        0.99902        1.00007        1.00068        0.99995       -0.01644       -0.01649       -0.01649       -0.01649
0.016758        0.99892        0.99899        1.00007        1.00070        0.99995       -0.01671       -0.01676       -0.01676       -0.01676
0.017031        0.99889        0.99896        1.00007        1.00073        0.99995       -0.01698       -0.01703       -0.01703       -0.01703
0.017308        0.99885        0.99893        1.00007        1.00075        0.99995       -0.01726       -0.01731       -0.01731       -0.01731
0.017589        0.99882        0.99890        1.00008        1.00077        0.99995       -0.01754       -0.01759       -0.01759       -0.01759
0.017875        0.99878        0.99886        1.00008        1.00080        0.99994       -0.01782       -0.01787       -0.01787       -0.01787
0.018166        0.99875        0.99883        1.00008        1.00082        0.99994       -0.01811       -0.01816       -0.01816       -0.01816
0.018461        0.99871        0.99879        1.00008        1.00084        0.99994       -0.01841       -0.01846       -0.01846       -0.01846
0.018762        0.99868        0.99876        1.00008        1.00087        0.99994       -0.01871       -0.01876       -0.01876       -0.01876
0.019067        0.99864        0.99872        1.00009        1.00090        0.99994       -0.01901       -0.01906       -0.01906       -0.01906
0.019377        0.99860        0.99869        1.00009        1.00092        0.99993       -0.01932       -0.01937       -0.01937       -0.01937
0.019692        0.99856        0.99865        1.00009        1.00095        0.99993       -0.01964       -0.01969       -0.01969       -0.01969
0.020012        0.99852        0.99861        1.00009        1.00097        0.99993       -0.01995       -0.02001       -0.02001       -0.02001
0.020338        0.99846        0.99856        1.00010        1.00101        0.99993       -0.02028       -0.02034       -0.02034       -0.02034
0.020669        0.99840        0.99849        1.00010        1.00106        0.99993       -0.02061       -0.02067       -0.02067       -0.02067
0.021005        0.99833        0.99843        1.00010        1.00111        0.99992       -0.02095       -0.02100       -0.02100       -0.02100
0.021347        0.99826        0.99836        1.00011        1.00115        0.99992       -0.02129       -0.02134       -0.02134       -0.02134
0.021694        0.99819        0.99830        1.00011        1.00120        0.99992       -0.02164       -0.02169       -0.02169       -0.02169
0.022047        0.99811        0.99823        1.00012        1.00125        0.99991       -0.02199       -0.02204       -0.02204       -0.02204
0.022405        0.99804        0.99816        1.00012        1.00130        0.99991       -0.02235       -0.02240       -0.02240       -0.02240
0.022770        0.99797        0.99809        1.00012        1.00135        0.99991       -0.02272       -0.02277       -0.02277       -0.02277
0.023140        0.99789        0.99802        1.00013        1.00140        0.99990       -0.02309       -0.02314       -0.02314       -0.02314
0.023516        0.99781        0.99795        1.00013        1.00145        0.99990       -0.02346       -0.02351       -0.02351       -0.02351
0.023899        0.99773        0.99787        1.00014        1.00151        0.99989       -0.02385       -0.02389       -0.02389       -0.02389
0.024288        0.99766        0.99780        1.00014        1.00156        0.99989       -0.02424       -0.02428       -0.02428       -0.02428
0.024683        0.99757        0.99772        1.00015        1.00161        0.99989       -0.02463       -0.02468       -0.02468       -0.02468
0.025084        0.99749        0.99764        1.00015        1.00167        0.99988       -0.02503       -0.02508       -0.02508       -0.02508
0.025492        0.99741        0.99756        1.00016        1.00173        0.99988       -0.02544       -0.02549       -0.02549       -0.02549
0.025907        0.99732        0.99748        1.00016        1.00178        0.99988       -0.02586       -0.02590       -0.02590       -0.02590
0.026328        0.99724        0.99740        1.00017        1.00184        0.99987       -0.02628       -0.02632       -0.02632       -0.02632
0.026756        0.99715        0.99732        1.00017        1.00190        0.99987       -0.02671       -0.02675       -0.02675       -0.02675
0.027192        0.99706        0.99724        1.00018        1.00196        0.99986       -0.02714       -0.02718       -0.02718       -0.02718
0.027634        0.99697        0.99715        1.00018        1.00202        0.99986       -0.02759       -0.02763       -0.02763       -0.02763
0.028083        0.99688        0.99706        1.00019        1.00209        0.99985       -0.02804       -0.02808       -0.02808       -0.02808
0.028540        0.99679        0.99698        1.00019        1.00215        0.99985       -0.02849       -0.02853       -0.02853       -0.02853
0.029004        0.99669        0.99689        1.00020        1.00221        0.99985       -0.02896       -0.02900       -0.02900       -0.02900
0.029476        0.99660        0.99680        1.00020        1.00228        0.99984       -0.02943       -0.02947       -0.02947       -0.02947
0.029955        0.99650        0.99670        1.00021        1.00234        0.99984       -0.02991       -0.02995       -0.02995       -0.02995
0.030443        0.99637        0.99658        1.00021        1.00243        0.99983       -0.03040       -0.03043       -0.03043       -0.03043
0.030938        0.99623        0.99645        1.00022        1.00253        0.99982       -0.03090       -0.03093       -0.03093       -0.03093
0.031441        0.99608        0.99631        1.00023        1.00262        0.99982       -0.03140       -0.03143       -0.03143       -0.03143
0.031952        0.99594        0.99618        1.00024        1.00272        0.99981       -0.03192       -0.03194       -0.03194       -0.03194
0.032472        0.99579        0.99604        1.00025        1.00282        0.99980       -0.03244       -0.03246       -0.03246       -0.03246
0.033000        0.99564        0.99589        1.00026        1.00293        0.99980       -0.03297       -0.03299       -0.03299       -0.03299
0.033537        0.99549        0.99575        1.00026        1.00303        0.99979       -0.03351       -0.03352       -0.03352       -0.03352
0.034083        0.99533        0.99560        1.00027        1.00314        0.99978       -0.03406       -0.03407       -0.03407       -0.03407
0.034637        0.99517        0.99545        1.00028        1.00324        0.99978       -0.03462       -0.03462       -0.03462       -0.03462
0.035200        0.99501        0.99530        1.00029        1.00335        0.99977       -0.03519       -0.03518       -0.03518       -0.03518
0.035773        0.99485        0.99515        1.00030        1.00346        0.99976       -0.03576       -0.03576       -0.03576       -0.03576
0.036355        0.99468        0.99499        1.00031        1.00358        0.99975       -0.03635       -0.03634       -0.03634       -0.03634
0.036946        0.99451        0.99483        1.00032        1.00369        0.99974       -0.03694       -0.03693       -0.03693       -0.03693
0.037547        0.99434        0.99467        1.00033        1.00381        0.99974       -0.03755       -0.03753       -0.03753       -0.03753
0.038158        0.99417        0.99450        1.00034        1.00393        0.99973       -0.03816       -0.03814       -0.03814       -0.03814
0.038778        0.99399        0.99434        1.00035        1.00405        0.99972       -0.03879       -0.03876       -0.03876       -0.03876
0.039409        0.99381        0.99417        1.00036        1.00417        0.99971       -0.03942       -0.03939       -0.03939       -0.03939
0.040050        0.99363        0.99399        1.00037        1.00429        0.99970       -0.04007       -0.04003       -0.04003       -0.04003
0.040701        0.99339        0.99377        1.00038        1.00445        0.99969       -0.04073       -0.04068       -0.04068       -0.04068
0.041363        0.99315        0.99354        1.00040        1.00462        0.99968       -0.04140       -0.04134       -0.04134       -0.04134
0.042036        0.99290        0.99331        1.00041        1.00479        0.99967       -0.04208       -0.04201       -0.04201       -0.04201
0.042720        0.99265        0.99307        1.00043        1.00496        0.99966       -0.04277       -0.04269       -0.04269       -0.04269
0.043415        0.99240        0.99283        1.00044        1.00513        0.99964       -0.04347       -0.04338       -0.04338       -0.04338
0.044121        0.99214        0.99259        1.00045        1.00531        0.99963       -0.04419       -0.04409       -0.04409       -0.04409
