xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.753114        0.00310        0.800        0.00303        0.00330        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.27        0.06        0.99        0.044        0.008        7.00        1.31        8.00        4.29         4        2.99        3.17        3.48        0.00        0.00        0.960        6.6761        1.10        0.33        0.2        0.0        0.000        0.00        0.00        1.07        0.39        0.4        1.36        1.69       -0.56        1.52
1.753114        0.00160        0.800        0.00160        0.00169        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.71        0.04        1.00        0.032        0.006        7.00        1.57        8.00        4.29         5        3.08        3.25        3.39        0.00        0.00        0.960        9.4289        1.10        0.08        0.3        0.0        0.000        0.00        0.00        1.07        0.38        0.4        1.33        2.48       -1.23        1.80
1.590455        0.00770        1.000        0.00765        0.00882        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.11        0.09        0.99        0.087        0.013        9.00        1.17       10.00        3.33         3        2.85        3.07        3.43        0.00        0.00        0.948        4.6486        1.10        0.79        0.2        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.53        1.46       -0.42        1.43
1.590455        0.00160        0.800        0.00152        0.00172        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.73        0.04        0.99        0.032        0.006        7.00        1.81        8.00        4.29         5        3.08        3.25        3.40        0.00        0.00        0.959        9.0517        1.13        0.14        0.3        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.42        2.43       -1.32        1.78
1.590455        0.00740        0.900        0.00714        0.00813        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        4.62        0.09        0.99        0.077        0.012        8.00        1.23        9.00        3.75         3        2.84        3.06        3.56        0.00        0.00        0.953        4.3714        1.11        0.78        0.1        0.0        0.000        0.00        0.00        1.08        0.40        0.4        1.52        1.15       -0.29        1.33
1.590455        0.00060        0.700        0.00059        0.00066        0.700        0.700        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       12.16        0.02        0.99        0.017        0.004        6.00        1.93        7.00        5.00         7        3.21        3.36        3.44        0.00        0.00        0.965       13.1079        1.12       -0.13        0.3        0.0        0.000        0.00        0.00        1.08        0.38        0.4        1.43        3.45       -1.96        2.15
1.590455        0.00090        0.800        0.00085        0.00099        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       11.43        0.03        0.99        0.024        0.005        7.00        1.93        8.00        4.29         6        3.11        3.30        3.35        0.00        0.00        0.960       11.8700        1.12       -0.03        0.3        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.41        3.42       -1.78        2.11
1.590455        0.00090        0.700        0.00091        0.00105        0.700        0.700        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.73        0.03        0.99        0.021        0.004        6.00        1.75        7.00        5.00         6        3.18        3.31        3.48        0.00        0.00        0.965       10.5089        1.13       -0.01        0.3        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.44        2.58       -1.54        1.86
1.590455        0.00160        0.900        0.00151        0.00171        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       10.05        0.04        0.99        0.036        0.007        8.00        1.87        9.00        3.75         5        3.02        3.24        3.30        0.00        0.00        0.954       10.0298        1.11        0.11        0.3        0.0        0.000        0.00        0.00        1.08        0.37        0.4        1.41        3.14       -1.28        1.99
1.590455        0.00310        0.900        0.00289        0.00339        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.15        0.06        0.99        0.050        0.009        8.00        1.59        9.00        3.75         4        2.97        3.17        3.39        0.00        0.00        0.954        7.0588        1.12        0.37        0.2        0.0        0.000        0.00        0.00        1.08        0.39        0.4        1.44        2.06       -0.83        1.64
