xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.596362        1.56010        0.490        1.459366        1.568318        0.490        0.490        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.29        2.50        0.93        1.224        0.954        3.90        8.35        4.90        1.92         0        1.46        2.55        2.56        0.00        0.00        0.86        0.5161        1.59        0.12        0.7        0.0        0.000        0.00        0.00        1.35        0.71        0.7        0.14        0.75       -0.21        1.04
0.372759        1.58030        0.571        1.521729        1.650520        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.35        2.51        0.92        1.436        1.135        4.71       13.94        5.71        1.59         0        1.46        2.44        2.45        0.00        0.00        0.84        0.3569        1.97        0.74        1.5        0.0        0.000        0.00        0.00        1.54        0.95        1.0        0.36        0.87       -0.30        1.07
0.372759        1.78850        0.490        1.769976        2.066245        0.490        0.490        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.27        2.67        0.92        1.311        0.991        3.90        8.97        4.90        1.92         0        1.52        2.69        2.87        0.00        0.00        0.85        0.2989        1.95        0.74        1.4        0.0        0.000        0.00        0.00        1.35        0.70        0.7        0.36        0.68       -0.24        1.04
0.294705        1.86930        0.490        1.818720        2.021051        0.490        0.490        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.26        2.73        0.92        1.340        1.001        3.90        9.29        4.90        1.92         0        1.55        2.69        3.11        0.00        0.00        0.85        0.2306        2.22        1.18        1.7        0.0        0.000        0.00        0.00        1.32        0.62        0.6        0.41        0.63       -0.24        1.04
0.294705        1.73690        0.571        1.652969        1.876830        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.33        2.64        0.92        1.505        1.169        4.71       14.30        5.71        1.59         0        1.49        2.42        2.53        0.00        0.00        0.83        0.2673        2.23        1.15        2.0        0.0        0.000        0.00        0.00        1.57        1.19        1.2        0.39        0.85       -0.30        1.07
0.232995        1.93020        0.490        1.899635        1.960780        0.490        0.490        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.26        2.78        0.92        1.362        1.006        3.90        9.62        4.90        1.92         0        1.58        2.63        3.45        0.00        0.00        0.85        0.1791        2.55        1.74        2.2        0.0        0.000        0.00        0.00        1.29        0.55        0.6        0.44        0.57       -0.24        1.03
0.232995        1.86160        0.571        1.768665        2.140342        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.31        2.73        0.91        1.558        1.192        4.71       14.76        5.71        1.59         0        1.52        2.56        2.70        0.00        0.00        0.82        0.2031        2.56        1.69        2.5        0.0        0.000        0.00        0.00        1.58        1.27        1.3        0.42        0.81       -0.29        1.07
0.232995        1.85510        0.571        1.660435        1.882865        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.31        2.72        0.91        1.555        1.190        4.71       14.78        5.71        1.59         0        1.52        2.59        2.71        0.00        0.00        0.82        0.2035        2.56        1.69        2.4        0.0        0.000        0.00        0.00        1.57        1.26        1.3        0.42        0.80       -0.29        1.07
0.232995        1.55590        0.653        1.500182        1.642713        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.40        2.49        0.91        1.629        1.310        5.53       26.95        6.53        1.36         0        1.45        2.33        2.40        0.00        0.00        0.81        0.2448        2.60        1.71        2.6        0.0        0.000        0.00        0.00        1.79        1.33        1.3        0.42        0.97       -0.37        1.09
0.184207        1.70220        0.653        1.598705        1.782708        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.38        2.61        0.91        1.704        1.347        5.53       27.41        6.53        1.36         0        1.48        2.38        2.49        0.00        0.00        0.80        0.1836        3.02        2.37        3.4        0.0        0.000        0.00        0.00        1.85        1.77        1.8        0.43        0.94       -0.36        1.09
