xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.526418        0.04800        0.327        0.047658        0.053511        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        1.03        0.44        0.99        0.143        0.078        2.27        3.45        3.27        3.30         1        2.24        2.81        2.89        0.00        0.00        0.95        4.4566        1.21       -0.47        0.4        0.0        0.000        0.00        0.00        1.13        0.38        0.4        1.22        1.19       -0.78        1.25
1.206793        0.04900        0.327        0.049046        0.053630        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        1.01        0.44        0.99        0.145        0.082        2.27        3.44        3.27        3.30         1        2.27        2.82        2.99        0.00        0.00        0.94        3.6587        1.28       -0.35        0.6        0.0        0.000        0.00        0.00        1.16        0.44        0.4        1.84        1.01       -0.97        1.22
0.596362        0.04840        0.408        0.048438        0.054465        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        1.37        0.44        0.98        0.180        0.112        3.08        5.35        4.08        2.44         1        2.31        2.85        3.11        0.00        0.00        0.92        2.4717        1.63        0.30        1.3        0.0        0.000        0.00        0.00        1.31        0.68        0.7        0.40        1.05       -1.54        1.24
0.471487        0.04710        0.408        0.047129        0.053536        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        1.39        0.43        0.98        0.177        0.112        3.08        5.25        4.08        2.44         1        2.31        2.83        3.31        0.00        0.00        0.92        1.9880        1.81        0.62        1.6        0.0        0.000        0.00        0.00        1.18        0.49        0.5        0.51        0.87       -1.57        1.20
0.372759        0.04880        0.490        0.046914        0.050036        0.490        0.490        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        1.73        0.44        0.98        0.217        0.140        3.90        8.09        4.90        1.92         1        2.33        2.85        3.23        0.00        0.00        0.90        1.8730        2.07        1.05        2.1        0.0        0.000        0.00        0.00        1.33        0.72        0.7        0.57        1.10       -1.92        1.25
0.372759        0.04790        0.571        0.047529        0.051124        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.11        0.44        0.98        0.250        0.166        4.71       14.07        5.71        1.59         1        2.31        2.86        2.92        0.00        0.00        0.89        2.1924        2.08        1.05        2.3        0.0        0.000        0.00        0.00        1.53        0.67        0.7        0.56        1.63       -2.36        1.38
0.294705        6.42640        0.163        6.404838        7.095287        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.07        0.80        0.826        0.818        0.63       13.41        1.63       11.90         0        1.97        2.92        3.01        0.00        0.00        0.79        0.1554        1.97        0.68        1.4        0.0        0.000        0.00        0.00        1.58        0.83        0.8        0.21        1.03       -0.13        1.15
0.294705        0.05080        0.571        0.048644        0.052153        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.04        0.45        0.98        0.257        0.170        4.71       11.48        5.71        1.59         1        2.34        2.85        3.10        0.00        0.00        0.89        1.6939        2.38        1.58        2.8        0.0        0.000        0.00        0.00        1.62        0.88        0.9        0.60        1.36       -2.33        1.32
0.232995        6.63780        0.163        6.631408        6.733105        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.15        0.79        0.840        0.841        0.63       16.34        1.63       11.90         0        1.99        2.90        3.02        0.00        0.00        0.78        0.1225        2.26        1.11        2.0        0.0        0.000        0.00        0.00        1.69        1.01        1.0        0.25        1.05       -0.14        1.16
0.232995        5.48580        0.245        5.099468        5.541026        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.05        4.68        0.79        1.148        1.017        1.45       88.39        2.45        5.17         0        1.91        2.76        2.81        0.00        0.00        0.77        0.1546        2.29        1.12        2.0        0.0        0.000        0.00        0.00        1.73        0.90        0.9        0.25        1.19       -0.18        1.17
0.232995        0.05220        0.571        0.049254        0.053456        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.01        0.46        0.98        0.261        0.172        4.71       10.65        5.71        1.59         1        2.36        2.85        3.31        0.00        0.00        0.88        1.3240        2.76        2.25        3.5        0.0        0.000        0.00        0.00        1.37        0.79        0.8        0.62        1.12       -2.30        1.26
0.232995        0.05180        0.653        0.051605        0.056700        0.653        0.653        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.37        0.46        0.98        0.297        0.201        5.53       21.98        6.53        1.36         1        2.35        2.85        3.04        0.00        0.00        0.87        1.5055        2.78        2.23        3.7        0.0        0.000        0.00        0.00        1.78        0.93        0.9        0.61        1.57       -2.69        1.38
0.184207        4.75030        0.327        4.438277        4.950268        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.08        4.36        0.78        1.425        1.203        2.27      -34.78        3.27        3.30         0        1.85        2.65        2.69        0.00        0.00        0.74        0.1466        2.70        1.66        2.7        0.0        0.000        0.00        0.00        1.90        1.00        1.0        0.27        1.33       -0.24        1.18
0.184207        0.05270        0.735        0.047616        0.054856        0.735        0.735        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.70        0.46        0.98        0.337        0.233        6.35      497.47        7.35        1.18         1        2.36        2.84        2.99        0.00        0.00        0.85        1.3138        3.28        3.02        4.8        0.0        0.000        0.00        0.00        1.94        1.01        1.0        0.61        1.78       -3.04        1.43
0.184207        6.77290        0.163        6.236903        6.951530        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.20        0.79        0.848        0.855        0.63       19.77        1.63       11.90         0        2.01        2.99        3.09        0.00        0.00        0.78        0.0968        2.62        1.66        2.6        0.0        0.000        0.00        0.00        1.83        1.24        1.2        0.27        1.04       -0.15        1.16
0.184207        5.64340        0.245        5.573620        6.132247        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.05        4.75        0.78        1.164        1.040        1.45      337.72        2.45        5.17         0        1.92        2.79        2.86        0.00        0.00        0.76        0.1214        2.66        1.66        2.6        0.0        0.000        0.00        0.00        1.87        1.09        1.1        0.27        1.19       -0.19        1.17
