xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
1.000000        0.01502        0.01612        1.190        1.190        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01502        1.190        4.409        0.992        0.146        0.123        3.86060        1.38        0.938       -0.18        3.05        0.00
1.000000        0.05435        0.05760        1.190        1.190        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05516        1.190        2.295        0.989        0.279        0.235        2.31307        1.40        0.935       -0.16        2.81        0.00
1.000000        0.05275        0.06226        0.917        0.917        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05275        0.917        1.761        0.990        0.211        0.230        1.79049        1.39        0.950       -0.16        3.96        0.00
1.000000        0.05260        0.06132        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05260        1.462        2.935        0.988        0.335        0.229        2.87914        1.38        0.921       -0.19        2.45        0.00
0.672336        0.01526        0.01617        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01526        1.462        5.455        0.990        0.181        0.124        3.20601        1.59        0.923        0.19        3.07        0.00
0.672336        0.05570        0.05961        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05643        1.462        2.828        0.986        0.347        0.238        1.89826        1.61        0.919        0.22        2.78        0.00
0.672336        0.05523        0.06052        1.190        1.190        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05523        1.190        2.290        0.987        0.280        0.235        1.55937        1.61        0.934        0.24        3.39        0.00
0.672336        0.05290        0.06239        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05290        1.734        3.502        0.986        0.399        0.230        2.27665        1.60        0.905        0.19        2.48        0.00
0.672336        0.01127        0.01256        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01244        2.007        8.457        0.989        0.224        0.112        4.63441        1.52        0.896        0.06        2.48        0.00
0.672336        0.01468        0.01671        0.917        0.917        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01468        0.917        3.338        0.990        0.111        0.121        2.06920        1.58        0.950        0.20        3.62        0.00
