xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.026304        0.86210        3.341        0.862088        0.953752        3.292        3.391        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.77        0.93        0.99        3.103        2.542      333.15     -231.06      334.15        0.90         0        0.86        1.23        1.83        4.69        1.02        0.97        0.0248       19.58       35.01       37.1       34.7        0.016        1.06        0.05        5.47       14.25       15.5        0.92        1.37       -0.46        1.01
0.026304        0.84620        3.223        0.760016        0.848946        3.094        3.351        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.72        0.92        0.99        2.964        2.421      321.25     -217.95      322.25        0.93         0        0.90        1.26        1.99        4.55        1.02        0.97        0.0251       19.60       35.09       36.7       34.9        0.016        1.06        0.05        5.50       14.28       15.4        0.93        1.37       -0.47        1.01
0.021491        0.82070        3.486        0.820722        0.928689        3.158        3.814        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.89        0.91        0.99        3.158        2.613      347.60     -216.58      348.60        0.86         0        0.85        1.20        1.80        4.16        1.02        0.97        0.0213       23.75       43.05       45.5       43.0        0.014        1.06        0.04        6.49       16.87       17.9        0.92        1.40       -0.49        1.01
0.017558        0.77720        3.473        0.732182        0.812285        3.146        3.799        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        1.94        0.88        0.99        3.061        2.545      346.25     -196.06      347.25        0.87         0        0.88        1.21        1.94        4.35        1.02        0.97        0.0183       28.88       53.03       55.1       52.5        0.017        1.06        0.05        9.25       36.65       43.0        0.93        1.43       -0.51        1.01
0.014345        0.72890        3.666        0.728893        0.835415        3.349        3.984        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.11        0.85        0.99        3.130        2.639      365.65     -187.96      366.65        0.82         0        0.85        1.18        1.84        3.28        1.02        0.97        0.0159       35.14       65.10       67.8       65.6        0.011        1.05        0.03       12.26       49.52       57.8        0.93        1.48       -0.55        1.01
0.014345        0.72690        3.761        0.726935        0.804945        3.648        3.874        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.17        0.85        0.99        3.207        2.713      375.10     -191.09      376.10        0.80         0        0.83        1.16        1.76        2.94        1.02        0.97        0.0160       35.12       65.02       68.1       66.0        0.009        1.04        0.03       11.46       39.81       43.2        0.93        1.49       -0.55        1.01
0.014345        0.14320        5.954        0.130991        0.143152        5.461        6.447        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        7.82        0.38        1.00        2.253        2.453      594.40      -91.29      595.40        0.50         0        0.60        0.93        1.07       43.39        1.02        0.97        0.0637       35.53       65.70       68.9        4.3        0.762        6.04        2.62     1232.87     3852.69     3852.7        0.95        2.91       -2.21        1.01
0.011720        0.66890        3.908        0.668852        0.759855        3.660        4.155        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        2.35        0.82        0.99        3.196        2.741      389.75     -175.29      390.75        0.77         0        0.83        1.14        1.74        2.07        1.02        0.97        0.0141       42.80       79.86       83.2       82.3        0.005        1.03        0.02       19.63      104.26      147.4        0.93        1.54       -0.59        1.01
0.011720        0.16500        5.891        0.140246        0.165009        5.652        6.131        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        7.20        0.41        0.99        2.393        2.560      588.15      -94.75      589.15        0.51         0        0.62        0.93        1.15       47.75        1.02        0.97        0.0467       43.23       80.55       84.1        5.2        0.794        6.67        3.19     1609.57     6483.22     6483.2        0.95        2.77       -1.98        1.01
0.011720        0.18930        5.759        0.189269        0.190101        5.457        6.061        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        6.57        0.44        0.99        2.505        2.631      574.90      -99.88      575.90        0.52         0        0.63        0.94        1.12       49.19        1.02        0.97        0.0419       43.19       80.49       84.2        1.7        0.582        6.61        3.25      832.05     3212.56     3212.6        0.95        2.63       -1.78        1.01
