rho	        P	        Br	        Bphi	    Bz	        ur	        uphi	    uz	        T           Phi
1.428332	-9.092057	-2.443627	-1.289435	-7.844932	8.419193	2.199550	0.415706	-2.357094	-6.575758
9.303495	9.107771	7.742507	-7.594076	-4.770705	5.932891	-1.038621	-4.686687	-4.565699	2.376197
9.958980	-6.581847	8.848599	-2.800785	4.774803	9.753285	3.076464	6.070095	-9.989703	4.623361
9.168620	-0.598371	7.255681	-9.623257	1.954829	6.537122	-1.440301	-2.493328	-0.608427	-6.075142
-2.809038	8.423679	2.957795	-8.701466	9.920940	9.486402	4.526832	6.502075	0.829937	4.552732
0.467132	-2.838116	-5.273367	8.064226	-7.271121	6.529521	-6.555639	7.155490	-0.011014	2.924747
-7.675268	-5.247049	-4.000976	3.858234	-1.006233	7.200457	-2.515873	-1.386690	-2.098956	-9.369173
-2.761143	5.976239	4.263261	-4.696555	3.354302	-8.832343	9.217937	-1.750476	-6.743685	-1.782242
-1.506729	-1.822370	0.060409	-7.555520	2.356899	-3.521357	-1.111307	5.336333	3.207849	-2.584807
-6.518974	-1.145546	9.622895	3.011999	-8.588378	7.945103	7.094180	-9.370422	-9.498307	6.717355
2.022163	6.363117	9.504598	9.237847	-9.480462	-1.505478	6.156243	-5.193493	-2.230266	2.378182
3.515228	6.272539	-3.574549	1.615736	8.570270	-2.642280	5.155107	-7.592795	3.120190	-9.040064
4.605323	3.121556	3.766781	4.487869	-5.764080	8.761788	6.339973	-2.457701	-5.016570	9.786367
6.781836	4.705246	-0.163498	6.156683	2.598322	9.259240	-1.231001	4.595480	8.080680	4.223050
1.110996	-8.060415	-7.821830	5.841009	4.487187	-4.627621	-7.729999	6.686573	-6.140792	-8.971563
-9.477553	-8.748900	6.826599	-9.211057	2.511360	2.873098	6.060234	-8.839100	3.324364	4.422923
-3.627796	7.404364	8.968791	0.520339	7.663813	2.013503	4.389025	-6.026940	-6.915291	-6.630567
-6.087193	-4.661592	-0.168822	9.313618	2.775567	-7.617504	-6.162824	-6.128139	9.404658	-5.440040
-7.554918	5.624133	-5.754994	-6.704607	6.934562	7.875192	9.675915	-3.152247	9.301658	-0.502226
0.587808	-0.825312	-5.262027	9.249476	-0.823847	5.366256	2.604628	-3.401572	-1.977837	3.028162
7.921910	-1.116831	-4.750051	-3.189154	9.308180	9.934697	4.618418	-4.981585	0.908998	6.298490
-7.663241	5.485946	-4.469890	-3.461554	4.795441	7.373995	5.849592	-3.701256	2.087985	1.098961
1.235663	8.253375	4.428965	-9.512341	4.565943	3.633388	-8.060204	-8.820763	-9.024338	1.493281
-3.714269	7.719326	-9.361888	-7.735529	-4.930064	-6.016727	-9.469800	-8.594870	-6.481562	0.535783
5.519681	5.947595	4.617165	-0.419075	-0.775909	4.190226	-6.604424	-1.040014	9.324347	-7.857806
7.013350	1.951437	5.167209	5.036663	-5.909025	-7.703939	1.545440	4.620776	8.126706	0.255236
-3.344730	-4.300570	-1.976961	-5.852850	-8.318863	-1.001997	8.869048	5.071991	-7.617257	3.114170
9.881626	-9.155344	4.662871	-7.964446	-8.284901	2.896592	-2.095703	-5.850030	2.973289	1.092202
9.659793	6.050386	4.829128	-8.462977	-5.463081	5.030918	-0.167817	8.477967	-3.521231	2.130978
-5.417294	-5.844336	2.756933	2.111367	2.759426	4.864010	-3.024158	2.956344	1.134872	1.278695
4.449972	1.873066	-5.726338	-0.287149	6.394288	7.188655	-7.761975	-4.261503	1.146337	-2.324890
9.449893	-3.444236	-7.432979	-4.454549	3.058721	-6.449234	-2.001628	-6.700935	-7.530807	8.223659
4.668363	2.931331	-3.481473	9.776736	7.285160	5.244195	-5.994582	7.010614	2.373464	6.247750
5.326158	-6.239786	-3.427297	-6.424777	1.486865	8.493930	3.700186	-8.433183	8.165272	-8.872970
5.476445	-5.083742	-7.176153	-9.982905	1.944591	6.975434	4.408763	-0.214841	-1.659327	-0.914676
2.037790	-5.046872	-1.101292	1.872830	-0.270579	-9.679534	-2.400971	-0.087480	-5.013825	9.044091
-9.687855	6.127085	-5.202628	-3.349493	-2.905946	2.057335	8.237022	9.953104	-9.681934	3.488604
4.335746	2.938824	5.177819	-4.158945	5.191074	3.039470	3.216647	2.234700	-2.076201	-0.097790
7.305152	-6.601104	3.236214	9.337464	3.351903	-9.486879	9.906049	-9.923056	4.839503	-2.409959
1.146546	0.983275	-9.666183	6.567692	8.512068	-3.660525	0.840490	7.045609	5.937485	8.269242
9.631502	4.299949	-3.599342	1.930585	0.324834	-9.777717	-0.540110	2.027029	1.367395	-0.912754
-5.810753	9.789666	8.984588	9.023104	-8.806822	2.064396	-3.999873	-2.135511	6.415236	3.705619
8.952863	7.875633	1.531477	-3.818730	-6.072916	-8.146243	7.936998	1.253604	-5.414798	-5.661822
0.605120	-2.028190	2.184471	2.427901	4.560326	9.450802	-3.988011	5.183021	8.403700	1.280171
-6.208735	6.636159	0.072109	9.532844	4.101384	-4.042817	7.099364	-2.240294	-0.369297	-0.531212
-3.212203	6.094397	-1.075009	6.305672	1.631187	9.300496	8.516986	4.810166	-5.321568	8.962966
5.628910	9.375208	3.840656	-6.381027	-8.594211	-4.731371	8.744631	-8.787875	9.867426	-6.418462
6.266117	0.227377	-0.925715	-1.630658	-7.523079	-8.658897	-3.441050	4.713376	0.692696	9.025157
-7.186241	-1.335631	3.151539	-8.953527	8.415912	9.831082	3.569905	-6.429363	-4.220254	-2.274641
8.269738	4.836632	3.726651	-3.201398	8.558566	0.648782	7.938026	7.422147	0.405298	6.833988
-4.827638	1.028234	-5.225378	-4.855421	4.829908	-0.502808	-7.035303	-6.902438	-0.551266	-5.812856
-3.972523	1.866298	-3.891784	5.760646	7.679035	4.696722	-2.255741	4.286956	-3.959287	1.719224
-1.394588	-7.861413	-3.216969	-4.561176	6.555757	7.729617	-4.646219	2.101903	-4.064977	9.959531
7.671623	-9.666354	7.764069	6.769328	-3.272449	-0.405172	-4.451194	-6.592292	5.913146	8.722373
-0.213743	-5.966462	9.382120	6.755733	-1.291093	9.690879	-5.128283	2.279133	-2.915749	-7.313980
6.577674	-6.887479	-3.051471	-6.315669	-0.800541	-8.474972	-4.048082	-6.085286	-0.094568	-5.622963
8.881542	5.751789	-4.540977	1.405703	6.554082	-7.967274	0.293188	6.241154	5.793897	3.492535
3.071995	-8.784016	0.836760	-2.804119	-7.503945	-7.626694	-6.350463	9.310519	3.188928	0.590000
-8.971099	2.779977	7.494403	1.271610	-2.656759	1.231761	8.375240	-0.885427	-1.499808	-8.111295
-9.814836	-3.997037	-6.212514	-8.519126	-2.542238	3.355985	1.907018	7.199215	-7.939732	-3.520148
-2.944377	2.660171	-7.996392	-1.063942	0.437970	4.645772	4.614865	-8.771178	0.921600	-0.791850
5.981392	7.050008	-2.520257	-9.165124	0.150797	7.637786	-3.569010	1.855188	-0.767653	-9.256366
-5.651520	2.261687	9.080963	-5.645545	-8.479257	3.197557	-2.407026	-6.727725	-8.392125	7.333783
-9.057527	-3.863584	-1.112038	-8.941008	7.926598	7.788724	0.773482	-5.483775	3.507124	-2.210020
-9.892819	9.583952	-1.756518	3.501509	-7.732402	9.735561	-2.433170	0.336676	-6.433022	-1.635262
-4.329586	2.502778	5.510676	3.871402	4.521496	-4.130935	0.062135	5.074430	8.735769	2.471414
-4.902763	-4.805158	-1.028292	-1.388381	2.056070	-9.565263	-5.450920	4.922692	8.976699	-7.041757
9.371499	-4.663012	-6.167787	4.016190	-3.311450	7.932228	0.270479	-9.795254	4.902946	-8.553021
-4.925199	5.870959	-3.721313	-5.065943	5.791473	3.233123	-8.452907	6.660511	-4.768969	-4.423433
9.562078	9.792113	-8.073081	6.802417	-8.183644	8.248049	8.218264	9.133453	-5.081349	2.386900
7.755908	-1.480462	9.023090	7.186366	-1.626511	-5.688622	-7.856127	-2.408583	-8.233737	-6.194588
-8.564591	1.529652	-2.686766	-8.964671	-9.893853	-5.842632	-0.724317	-7.360575	-3.396171	-7.734506
-6.674354	-2.033251	1.689198	4.335099	4.906638	-3.144220	8.080573	3.656063	-4.124184	3.466634
4.056780	-3.835083	9.360179	2.333570	-2.911013	-6.882650	-6.451112	3.210594	4.694449	-4.067482
9.459387	4.818339	7.046618	-0.591108	-0.539108	2.044047	-8.992278	-7.476523	9.235075	9.679312
6.178740	8.138007	0.372774	-9.299717	-0.847255	4.719631	3.268184	-1.108413	-3.885514	6.087734
-1.425311	-3.608888	7.305678	-7.233389	-4.861948	2.541791	-1.423071	5.731447	8.998865	-1.933443
6.133974	8.545533	-8.285061	9.393234	-7.072884	-5.938526	-7.883275	-4.262056	3.385024	-0.710475
-2.402631	0.624988	7.275849	3.226575	-9.217511	-6.331024	-3.695070	5.949684	-2.795369	1.590477
-2.047838	0.092804	2.914587	4.642698	3.005267	8.133653	8.684690	-8.049542	-2.254662	-7.226819
-7.122042	0.476759	-3.416946	-7.522021	3.444563	-7.325284	-2.161028	6.945769	3.108820	8.974748
-2.360455	-6.401985	-5.907801	-8.800698	-9.417093	-0.041989	-6.837127	-9.368369	4.684643	-0.160316
-2.584102	-8.520035	8.168216	6.248098	-9.209024	1.003623	3.536435	-4.212782	-5.036701	-8.170921
3.364521	2.052097	-7.589787	-7.832375	-6.080624	0.321017	2.364715	-7.846040	-1.012722	4.369904
-5.960367	-9.985370	8.134051	2.083483	3.945445	3.614307	2.025426	-3.824034	5.153094	0.444999
3.584703	-3.797232	-3.795355	-3.343142	-3.251501	-0.696544	-1.788962	9.260767	0.380935	-1.426210
7.041924	2.901356	3.441234	8.006947	-9.295710	-8.598943	8.727090	-8.910868	6.282050	0.682568
2.394763	-3.900475	6.283722	3.785284	0.257151	5.783623	7.745810	-5.086869	-1.788852	2.931891
5.861297	9.400020	8.589291	-3.021746	7.751625	-9.544295	4.131579	0.628735	-2.748086	6.751972
-0.100711	-1.397853	-0.630599	0.545588	6.490569	-5.143615	-2.219231	-9.302325	-3.249261	0.370403
-8.942239	4.555693	9.359107	-3.327062	4.689328	7.951953	0.450436	-8.533404	-0.852269	-6.858439
-8.830610	8.843253	-7.290022	-7.790605	3.983730	-9.046740	-6.673976	6.611328	5.978852	-7.807783
2.883436	3.711330	-8.189389	5.261503	9.242392	0.583474	7.756844	-3.144368	-8.174609	-7.268868
6.546006	9.805685	-0.571676	-6.833080	-7.882085	-0.383300	8.263237	6.369350	-8.407904	-7.035334
4.338895	0.931088	0.993568	-5.551266	-2.229134	1.977914	-4.846004	1.683840	-3.528008	9.297823
8.428272	-4.012782	2.075904	4.462595	5.190267	-7.203596	8.114907	4.013827	-3.762476	6.425511
9.399705	-5.026611	8.150900	5.657133	1.521169	4.030183	6.482351	-4.170617	-6.915113	-5.136628
-7.126759	-0.734222	-5.896561	-6.442409	-6.638499	-9.830075	3.165388	-1.528664	-2.926417	7.565413
1.075223	9.904927	-9.202026	-8.375403	8.384947	3.492301	-9.721403	0.009024	6.301214	-6.883838
-3.094973	0.443485	2.367375	-3.099368	-7.528211	-6.399488	8.446045	-7.975718	-6.070291	4.094845
