xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.544935        0.01310        1.306        0.01306        0.01492        1.188        1.424        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        5.21        0.11        0.99        0.149        0.041       12.06        4.60       13.06        2.49         2        2.51        2.87        3.37        5.52        1.08        0.929        2.2332        1.68        0.74        1.4        0.4        0.133        1.34        0.74        1.36        0.80        0.8        0.42        1.13       -1.48        1.30
0.369139        0.01360        1.598        0.01360        0.01460        1.482        1.714        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        6.33        0.12        0.99        0.187        0.052       14.98        5.50       15.98        2.00         2        2.53        2.87        3.40        6.01        1.10        0.914        1.8063        2.04        1.40        2.1        0.8        0.238        1.49        0.90        1.63        1.20        1.2        0.54        1.24       -1.84        1.33
0.334889        0.01380        1.671        0.01335        0.01401        1.561        1.708        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        6.59        0.12        0.99        0.196        0.055       15.71        5.86       16.71        1.91         2        2.54        2.87        3.42        6.10        1.11        0.910        1.6994        2.16        1.61        2.3        0.8        0.251        1.54        0.94        1.73        1.37        1.4        0.55        1.27       -1.93        1.34
0.303817        0.08130        1.788        0.08133        0.08324        1.567        1.861        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        2.89        0.29        0.98        0.510        0.154       16.88       10.61       17.88        1.78         1        2.19        2.64        3.28        7.85        1.08        0.896        0.7533        2.29        2.29        2.7        0.4        0.163        1.60        1.26        1.61        1.35        1.4        0.54        0.96       -0.98        1.22
0.303817        0.07750        1.943        0.07584        0.09037        1.800        1.963        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.24        0.28        0.98        0.541        0.162       18.43       15.58       19.43        1.63         1        2.16        2.62        3.22        7.39        1.13        0.888        0.8188        2.27        2.25        2.3        0.6        0.209        1.60        1.18        1.63        1.32        1.3        0.51        1.10       -0.99        1.25
0.303817        0.01400        1.723        0.01386        0.01499        1.674        1.772        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        6.78        0.12        0.99        0.204        0.057       16.23        6.21       17.23        1.85         2        2.55        2.87        3.46        6.59        1.11        0.907        1.5806        2.29        1.84        2.6        1.6        0.358        1.59        1.05        1.88        1.80        1.8        0.56        1.26       -2.00        1.34
0.303817        0.01400        1.761        0.01302        0.01462        1.696        1.957        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        6.91        0.12        0.99        0.209        0.058       16.61        6.23       17.61        1.81         2        2.55        2.87        3.39        6.03        1.11        0.905        1.6062        2.29        1.83        2.6        0.5        0.201        1.58        0.95        1.85        1.48        1.5        0.56        1.32       -2.04        1.36
0.250054        0.00080        2.040        0.00071        0.00084        1.907        2.044        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       33.47        0.03        0.99        0.058        0.017       19.40        8.45       20.40        1.55         6        3.01        3.21        3.22        3.77        1.07        0.894        6.1712        2.51        1.95        3.7        0.3        0.114        1.67        0.63    20247.84  3812632.00 31376530.0        0.51        5.26       -9.80        2.63
0.226854        0.08570        1.788        0.08567        0.09710        1.719        1.857        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        2.82        0.29        0.98        0.523        0.159       16.88       10.90       17.88        1.78         1        2.24        2.65        3.47        9.19        1.07        0.895        0.5562        2.76        3.16        3.7        0.7        0.247        1.76        1.62        1.80        1.89        1.9        0.58        0.82       -1.00        1.20
0.226854        0.00080        2.154        0.00082        0.00087        2.042        2.265        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       35.16        0.03        0.99        0.062        0.018       20.54      301.85       21.54        1.46         6        3.02        3.21        3.22        3.78        1.07        0.889        5.8416        2.67        2.22        4.0        0.1        0.033        1.73        0.66    19658.80  2138453.00 16394760.0        0.51        5.37      -10.24        2.67
0.226854        0.00140        2.324        0.00136        0.00143        2.138        2.510        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       29.79        0.04        0.99        0.086        0.025       22.24       52.82       23.24        1.35         5        2.94        3.14        3.17        3.80        1.08        0.880        4.8699        2.66        2.20        4.0        0.2        0.094        1.73        0.66     5481.10   692099.50  6971114.0        0.49        4.84       -8.49        2.46
0.226854        0.08170        2.123        0.08158        0.08880        2.096        2.150        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.45        0.29        0.98        0.607        0.185       20.23       22.26       21.23        1.48         1        2.19        2.62        3.26        8.10        1.14        0.878        0.6490        2.73        3.07        3.2        0.9        0.287        1.76        1.43        1.84        1.77        1.8        0.53        1.14       -1.09        1.26
0.205805        0.00140        2.475        0.00134        0.00141        2.374        2.575        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       31.50        0.04        0.99        0.092        0.027       23.75       10.97       24.75        1.26         5        2.93        3.14        3.16        3.80        1.09        0.873        4.6229        2.83        2.47        4.3        0.2        0.100        1.79        0.68     6316.98   533316.50  4965493.0        0.48        5.16       -8.80        2.56
