rho	        P	        Br	        Bphi	    Bz	        ur	        uphi	    uz	        T           Phi
-4.519599	1.634698	-0.389714	1.764525	0.156417	-8.389943	-3.982219	-1.818930	8.140002	3.264679
-9.353757	-0.686461	-2.824546	7.087870	4.706328	0.070177	1.679481	4.565644	-0.308097	-4.184761
6.161093	-0.451742	-2.614762	4.528448	8.502364	2.312808	6.068897	-4.412823	2.896472	-7.860448
-1.115075	2.622720	0.226053	7.226056	-7.119229	-8.596672	8.797845	0.034342	1.812335	6.038490
2.045802	3.722687	9.290775	4.320729	8.981206	-2.265168	1.675983	6.969834	-0.705237	3.370958
-7.350672	9.803467	-3.586860	-4.000122	-1.324031	0.325627	-6.287596	-4.542164	-1.509812	4.413179
4.206412	-6.713836	4.077904	-4.275072	-6.080238	1.461139	-5.589053	6.194603	-5.327856	-9.359054
-5.520766	-8.526628	3.236217	-5.130274	0.368259	-6.112341	6.785818	-8.194632	7.818222	1.276405
5.314503	-1.896230	8.347480	0.675999	5.801366	-2.226908	8.393932	0.928209	-7.804908	-1.631284
-9.083860	1.479097	-1.078843	4.503250	3.553182	-0.000566	3.267850	-9.346068	1.669405	0.519961
7.551524	-6.812675	8.147317	3.753019	1.931717	-6.371096	-9.003406	8.517072	-5.001458	-5.912158
5.338389	9.642984	1.561299	2.784916	2.545107	-4.165207	9.263481	-1.331117	1.236622	3.155669
6.884890	0.465296	2.880190	8.579267	9.746628	9.344924	-4.676084	4.362174	-7.944902	0.515279
-6.055026	6.592538	-8.141430	-0.145014	3.272103	-0.762129	0.433370	-6.062792	-4.829954	0.103792
-8.779117	7.841127	-1.061263	2.603359	2.700445	8.915310	-3.606662	-4.869086	1.734330	6.652358
5.216279	-8.067649	0.491185	3.157697	-8.834809	5.473169	8.486164	-6.059128	1.972043	-8.738934
-0.918934	9.634432	8.642219	-2.720615	-0.432480	-3.456281	-1.172417	9.640619	2.236384	0.191679
9.849803	-7.739554	7.039943	-6.149100	-7.033566	5.629086	-3.240959	0.674995	9.217035	-8.427310
-9.229647	0.598085	-3.973313	4.524650	2.341055	7.413485	-7.570724	1.099342	8.826276	-3.024594
4.121553	1.870330	2.947258	4.275600	-2.427359	3.531122	-9.152368	4.396692	-5.449668	2.512116
-4.934231	7.690966	7.657134	5.201116	0.703623	-6.569346	6.934708	2.794038	2.152274	3.011009
-5.407755	2.465266	1.748079	5.848722	-1.461192	6.567997	2.854051	3.984412	-5.242963	-8.963740
8.388907	-9.431580	1.781590	1.349289	9.588869	-3.879803	9.012477	0.401202	1.271285	-0.438912
-5.963890	0.406635	-3.683924	-9.312807	4.825024	6.039423	9.925136	-5.868267	-3.431864	-4.139739
4.890287	-8.473097	-8.975650	3.993723	0.756604	-0.454131	-6.658439	-3.811569	-0.963685	-0.643626
-0.891195	3.568100	9.449417	2.169983	3.262045	-8.856419	6.651658	-9.695397	3.896152	3.388340
-6.867364	-4.351291	-7.111906	2.423491	-2.950632	0.557990	8.773076	-7.370320	-2.162844	4.413577
0.261367	3.607333	-0.992418	7.378510	5.623121	-7.295436	-2.735352	0.937307	-5.639449	-1.230319
-1.402563	8.517501	6.794858	-9.969342	6.455368	5.432519	8.592729	4.829083	-2.842630	1.236693
0.720723	6.784236	8.872769	8.417590	9.740911	1.791227	5.284020	3.911292	0.662383	-6.272725
7.285544	-5.175193	-7.128536	2.776827	-3.974006	3.940622	2.729264	-6.499391	-8.167793	-9.905169
-4.295311	-9.907620	5.867403	4.448294	-6.799666	0.748618	-3.987695	3.918445	5.051602	6.831833
-8.418478	-6.882117	-4.498687	4.839826	7.523671	3.550692	-0.058035	0.437045	-9.137850	-8.505651
-6.898665	-6.954373	1.551042	-0.495661	-5.029374	-3.294367	9.356562	-4.499755	2.868801	-4.613998
-3.105266	2.942047	-2.613349	-6.673714	-4.769727	-7.289753	8.967307	4.856015	-3.757304	9.617010
4.910562	-0.919865	0.069857	4.526815	9.504778	6.979650	-2.076584	-3.857316	-4.699963	-7.691846
0.463463	1.163030	9.648745	-7.275715	-0.945755	-7.736272	9.571049	-6.517158	-4.571283	0.000805
-3.668767	-6.582753	3.395276	1.295196	-4.289461	-3.725858	-7.510566	-9.544453	4.257873	7.135764
7.290086	6.932693	-4.483792	7.625796	-5.261597	-9.034328	9.697981	-2.743880	-4.132134	-0.422646
0.782931	-8.691937	-6.894305	5.799645	2.929952	9.748488	-9.629616	-6.396250	6.551055	7.698581
-2.030736	-6.959823	-1.325119	5.862594	-5.121609	1.327760	0.182533	4.525727	-7.322301	9.264999
7.822279	0.995275	-6.083463	6.553369	-6.467844	6.602054	-8.383604	7.958097	-5.602233	2.155008
-0.032797	-4.754138	-8.346003	8.877605	8.384830	-6.801747	0.680294	2.890644	-1.325976	-5.702262
-4.715388	-9.227683	2.582910	1.554577	-6.514080	2.003826	6.477548	6.332188	0.852301	-2.534146
-0.145812	9.563071	9.013352	0.435428	-3.330529	5.388968	2.744146	1.664746	-5.055224	-0.937810
4.150791	4.312908	8.773402	2.734171	9.951720	-2.687360	8.047646	-6.457972	0.645052	0.414578
7.216090	8.189141	3.965991	-7.188553	-3.026556	5.322686	7.192156	-8.396516	5.158012	2.104278
-3.867543	6.517444	-4.233905	-2.295187	6.137289	7.664698	3.959508	-9.197299	-1.623367	6.357646
-0.730701	3.524491	-4.063860	5.888454	5.257791	3.269107	-5.697714	5.806841	-7.727237	6.075922
1.382066	-7.620107	3.525562	-3.696802	-2.688530	9.687638	5.565865	-4.303248	-8.091747	5.660739
6.304641	-6.234457	-8.118672	-1.666812	8.356788	-7.632296	-2.355085	6.322078	7.094959	8.752262
5.761744	9.035323	-6.207729	-6.625052	1.432083	-0.882531	2.618374	8.512302	6.716424	-6.082266
-4.096931	3.570255	-1.887889	-9.428622	-8.730109	-3.286632	-6.066143	-1.969073	-6.353003	-4.409809
0.376173	6.158565	9.688658	-0.080286	-4.500965	-4.875254	7.434503	6.200922	6.469100	1.923192
-0.259225	2.650432	9.004925	0.934627	3.665795	-2.550353	9.313159	-5.050018	-1.795135	-1.878492
-0.755041	2.272378	-1.163348	-0.842315	9.588388	-4.104652	2.181665	1.624396	-2.300871	-1.282455
0.533350	7.028611	0.492937	0.853869	6.707947	-7.190590	-9.406674	-7.972253	9.807289	-0.748877
7.597443	-7.991102	-0.879614	-5.882724	-5.101982	0.098861	6.672859	2.660614	2.473431	-8.779847
5.219502	4.960691	7.949046	5.198376	3.616100	1.701550	1.734171	0.836786	1.243588	3.414108
2.232469	4.874398	-2.232349	-5.746904	1.747291	7.646716	-3.519210	6.558082	-6.435694	5.605960
1.765789	5.647233	1.810955	-5.968137	3.521782	-0.062302	3.924958	-5.693748	2.972246	0.615623
-4.239950	-0.984362	-1.864374	8.822165	-8.556482	-0.688002	-0.402447	-4.522863	7.043009	-4.100779
3.265500	9.017114	5.919781	-6.589283	-6.363322	-0.238658	-8.738177	4.606375	1.436085	-1.461606
-4.931402	4.127943	3.068359	9.385040	-7.272500	7.418389	-3.382254	6.075438	-6.281477	7.372546
-8.863260	-6.815650	-2.398162	-9.922749	-3.131781	-7.905902	-6.656619	-9.484276	3.366150	-8.427139
8.649654	4.739423	2.618977	8.675817	-6.127169	6.908062	6.671747	-1.362861	9.963032	-0.811096
1.003871	1.691572	-2.713334	-0.566892	5.784527	7.114277	-7.593293	-5.903681	0.450455	-4.455971
-3.265218	-9.469744	1.015006	2.695019	8.332080	4.847800	3.273871	-2.481934	3.964110	-5.115444
5.243773	-1.139596	-1.811661	-8.713126	-8.624775	-3.717851	-6.661887	-9.038524	9.897640	8.723878
